Year	pamela villoresi	scaramouchc	pignaverde	morati	﻿consulauto	t.v	girlfriends	pignasecca	vitrac	ciaikowsky
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.000000	0.000000	0.307453	0.342542	0.000000	0.149725	0.000000	0.000000	0.000000	0.424240
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.000000	0.000000	0.000000	0.298820	0.000000	0.460907	0.000000	0.000000	0.000000	0.331590
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.000000	0.000000	0.000000	0.301995	0.000000	0.000000	0.000000	0.152853	0.000000	0.000000
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.000000	0.364077	0.000000	0.243115	0.000000	0.000000	0.000000	0.192070	0.221990	0.339268
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.000000	0.732310	0.000000	0.709561	0.000000	0.419422	0.000000	0.170526	0.000000	0.000000
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.000000	0.000000	0.000000	0.000000	0.345382	0.477352	0.692201	0.414964	0.000000	0.365549
1980	0.000000	0.000000	0.497238	0.240158	0.335147	0.000000	0.000000	0.489224	0.000000	0.409923
1981	0.000000	0.000000	0.357018	0.153299	0.696453	0.694477	0.278835	0.308229	0.688091	0.453765
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.000000	0.000000	0.000000	0.413884	0.000000	0.000000	0.000000	0.173256	0.258872	0.457923
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.000000	0.000000	0.000000	0.127646	0.000000	0.090997	0.000000	0.000000	0.000000	0.138829
1987	0.000000	0.000000	0.077156	0.081018	0.000000	0.152730	0.000000	0.154635	0.000000	0.227417
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.000000	0.000000	0.354078	0.161214	0.000000	0.000000	0.000000	0.299747	0.000000	0.231130
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.000000	0.000000	0.451786	0.082504	0.000000	0.000000	0.000000	0.536232	0.000000	0.506798
1992	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.226920
1993	0.232782	0.000000	0.477792	0.268274	0.000000	0.000000	0.000000	0.517146	0.000000	0.687562
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.259056	0.000000	0.436912	0.000000	0.000000	0.000000	0.000000	0.430955	0.000000	0.000000
1997	0.198063	0.000000	0.557545	0.218614	0.000000	0.000000	0.000000	0.559853	0.000000	0.179774
1998	0.000000	0.000000	0.495625	0.000000	0.000000	0.000000	0.000000	0.520985	0.000000	0.390131
1999	0.000000	0.000000	0.482062	0.000000	0.000000	0.000000	0.000000	0.429724	0.000000	0.413094
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.894844	0.000000	0.710104	0.233071	0.000000	0.000000	0.000000	0.688703	0.000000	0.000000
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
