Year	icurato	monsignor stanislao dziwisz	sottoelencati	giovanni paolo ii	burghiba	wojtyla	gian antonio minghelli	dap	﻿sospeso	card
1948	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.274070	0.338780
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.145493	0.118090	0.455909
1954	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.121673	0.183877	0.254541
1955	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.441308	0.460365
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.000000	0.000000	0.000000	0.000000	0.150465	0.000000	0.000000	0.163321	0.401397	0.444161
1958	0.000000	0.000000	0.000000	0.000000	0.198931	0.000000	0.000000	0.181809	0.209616	0.581284
1959	0.000000	0.000000	0.000000	0.000000	0.181571	0.000000	0.000000	0.080885	0.318265	0.344525
1960	0.000000	0.000000	0.000000	0.000000	0.049228	0.000000	0.000000	0.030965	0.167760	0.321599
1961	0.000000	0.000000	0.000000	0.000000	0.236709	0.000000	0.000000	0.180830	0.343379	0.341175
1962	0.000000	0.000000	0.000000	0.000000	0.200815	0.000000	0.000000	0.057880	0.304784	0.296011
1963	0.000000	0.000000	0.000000	0.000000	0.216161	0.000000	0.000000	0.048520	0.097738	0.587943
1964	0.000000	0.000000	0.000000	0.000000	0.140940	0.000000	0.000000	0.065377	0.200999	0.469031
1965	0.000000	0.000000	0.000000	0.000000	0.158070	0.000000	0.000000	0.113191	0.245241	0.408362
1966	0.700598	0.000000	0.696146	0.000000	0.160045	0.000000	0.000000	0.058777	0.670582	0.529164
1967	0.000000	0.000000	0.000000	0.000000	0.207219	0.341625	0.000000	-0.186195	0.176548	0.454826
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.000000	0.000000	0.000000	0.000000	0.211308	0.000000	0.000000	0.021353	0.229058	0.505409
1970	0.000000	0.000000	0.000000	0.000000	0.337846	0.000000	0.000000	0.104537	0.201873	0.484025
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.000000	0.000000	0.000000	0.000000	0.155960	0.000000	0.000000	0.084413	0.193064	0.207491
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.000000	0.000000	0.188265	0.000000	0.075446	0.000000	0.000000	0.173139	0.275173	0.324654
1976	0.000000	0.000000	0.000000	0.000000	0.338096	0.000000	0.672920	0.074761	0.488199	0.203820
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.000000	0.000000	0.000000	0.000000	0.267829	0.488279	0.000000	-0.021346	0.043868	0.494906
1979	0.000000	0.000000	0.031667	0.000000	0.151294	0.154343	0.000000	0.278795	0.144735	0.342662
1980	0.000000	0.000000	0.034655	0.327444	0.673934	0.286739	0.000000	0.148990	0.164126	0.697853
1981	0.000000	0.000000	0.079990	0.678018	0.248728	0.333410	0.000000	0.127334	0.134679	0.720966
1982	0.000000	0.000000	0.000000	0.173989	0.280732	0.336652	0.000000	0.040414	0.047011	0.163430
1983	0.000000	0.000000	0.000000	0.000000	0.292638	0.348175	0.000000	0.215406	0.143012	0.274562
1984	0.000000	0.000000	0.006283	0.000000	0.421168	0.434971	0.000000	-0.045407	0.146865	0.423892
1985	0.000000	0.000000	0.181198	0.506506	0.446203	0.199253	0.000000	0.184230	0.223131	0.477035
1986	0.000000	0.000000	0.000000	0.000000	0.407140	0.216324	0.000000	0.135575	0.114594	0.363180
1987	0.000000	0.000000	0.000000	0.242169	0.418732	0.295858	0.000000	-0.040018	0.164004	0.391663
1988	0.000000	0.000000	0.000000	0.000000	0.400632	0.256130	0.000000	-0.079548	0.055077	0.300440
1989	0.000000	0.000000	0.094014	0.395895	0.197862	0.352745	0.000000	-0.093520	0.101324	0.327636
1990	0.000000	0.000000	0.060807	0.470670	0.239397	0.211165	0.000000	-0.128979	0.154662	0.179666
1991	0.000000	0.000000	0.047453	0.376194	0.163839	0.287199	0.000000	0.000000	0.283697	0.097902
1992	0.000000	0.000000	0.000000	0.466331	0.000000	0.428495	0.000000	-0.025071	0.232893	0.261892
1993	0.000000	0.000000	0.000000	0.269248	0.000000	0.356051	0.000000	0.087626	0.132599	0.228765
1994	0.000000	0.000000	0.000000	0.244259	0.000000	0.355584	0.000000	0.165221	0.084286	0.256508
1995	0.000000	0.000000	-0.009098	0.000000	0.126388	0.393546	0.000000	0.099363	0.103966	0.064700
1996	0.000000	0.000000	0.000000	0.000000	0.000000	0.330068	0.000000	0.309894	0.316005	0.059563
1997	0.000000	0.000000	0.000000	0.226893	0.000000	0.234276	0.000000	0.140892	0.132465	0.012500
1998	0.000000	0.000000	0.155478	0.456202	0.000000	0.203579	0.000000	0.292317	0.209788	-0.068734
1999	0.000000	0.000000	0.000000	0.255612	0.000000	0.238881	0.000000	0.670697	0.088591	-0.001738
2000	0.000000	0.000000	0.000000	0.345959	0.342923	0.315478	0.000000	0.164441	0.000000	0.188953
2001	0.000000	0.000000	0.000000	0.000000	0.000000	0.271331	0.000000	0.285473	0.000000	0.003418
2002	0.000000	0.000000	0.000000	0.415173	0.000000	0.402503	0.000000	0.340183	-0.009663	-0.127088
2003	0.000000	0.000000	0.000000	0.462258	0.000000	0.352946	0.000000	0.268689	0.141300	0.045010
2004	0.000000	0.000000	0.000000	0.000000	0.000000	0.270555	0.000000	0.524516	0.000000	-0.010173
2005	0.000000	0.699405	0.000000	0.515285	0.000000	0.338251	0.000000	0.355842	0.000000	-0.078829
