Year	oneglio	labat	delorenzi	qinzberq	9949116-ladispoll	provis	sieqmund	bachi	408.160	724.875
1948	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.123330	0.000000	0.000000
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.307886	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.473626	0.000000	0.000000
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.532419	0.000000	0.000000
1955	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.293253	0.000000	0.000000
1956	0.389843	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.494839	0.000000	0.000000
1957	0.339185	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.208277	0.000000	0.000000
1958	0.353064	0.000000	0.380015	0.000000	0.000000	0.000000	0.000000	0.008549	0.000000	0.000000
1959	0.843182	0.000000	0.790232	0.000000	0.000000	0.000000	0.000000	0.166488	0.000000	0.000000
1960	0.470897	0.000000	0.485910	0.000000	0.000000	0.000000	0.000000	0.317405	0.000000	0.000000
1961	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.311009	0.000000	0.000000
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.562283	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.242045	0.000000	0.000000
1964	0.377780	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.236244	0.000000	0.000000
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.104989	0.000000	0.000000
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.273624	0.000000	0.000000
1972	0.377761	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.209724	0.000000	0.000000
1973	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.194138	0.000000	0.000000
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.514450	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.436474	0.000000	0.000000
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.062927	0.000000	0.000000
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.000000	0.000000	0.171065	0.000000	0.000000	0.000000	0.000000	0.140820	0.000000	0.000000
1983	0.498921	0.000000	0.146918	0.000000	0.000000	0.000000	0.000000	0.186099	0.000000	0.000000
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.000000	0.000000	0.102497	0.000000	0.000000	0.000000	0.000000	0.122259	0.000000	0.000000
1987	0.324348	0.189394	0.468740	0.000000	0.000000	0.000000	0.000000	0.142283	0.000000	0.000000
1988	0.000000	0.000000	0.208251	0.000000	0.000000	0.122624	0.000000	0.147449	0.000000	0.000000
1989	0.000000	0.087757	0.034977	0.000000	0.000000	0.243015	0.325998	0.026512	0.000000	0.000000
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.301104	-0.028451	0.000000	0.435034	0.000000	0.230350	0.461042	0.173323	0.000000	0.000000
1992	0.097834	0.335655	0.369833	0.255335	0.000000	0.207147	0.230494	0.133771	0.000000	0.000000
1993	0.361521	0.793205	0.404678	0.790170	0.789239	0.787412	0.782840	0.071770	0.777259	0.777253
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.231252	0.287572	0.342936	0.000000	0.000000	0.000000	0.000000	0.106511	0.263947	0.000000
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.264477	0.000000	0.263056	0.000000	0.000000	0.000000	0.000000	0.138844	0.220112	0.000000
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.025275	0.000000	0.000000
2002	0.000000	0.000000	0.241945	0.000000	0.000000	0.000000	0.000000	0.053421	0.000000	0.000000
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
