Year	enrico maria	alain	antonio	francesco	mario	dario	fenzl	deborah	paolo	giovanni
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.000000	0.358579	0.379717	0.352254	0.380964	0.393770	0.771272	0.331754	0.248917	0.400011
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.000000	0.450154	0.193864	0.142065	0.251064	0.143765	0.000000	0.222452	0.113225	0.100973
1963	0.000000	0.233598	0.192718	0.149116	0.207552	0.190602	0.000000	0.370219	0.072810	0.138139
1964	0.000000	0.259956	0.142451	0.108152	0.228767	0.235497	0.000000	0.385564	0.070745	0.097406
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.000000	0.334443	0.225674	0.182024	0.276463	0.286197	0.000000	0.144101	0.217936	0.094317
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.000000	0.334832	0.126206	-0.001624	0.079658	0.248635	0.000000	0.442073	0.066820	-0.051311
1972	0.858087	0.278367	0.195354	0.130760	0.105538	0.183820	0.000000	0.266063	0.120440	0.147018
1973	0.000000	0.279766	0.222710	0.140956	0.203016	0.261700	0.000000	0.380666	0.161156	0.158961
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.000000	0.126387	0.226944	0.136874	0.239459	0.171488	0.000000	0.212804	0.108615	0.193363
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.000000	0.339227	0.500956	0.452360	0.454263	0.387087	0.461149	0.276493	0.309657	0.430596
1982	0.000000	0.256506	0.359144	0.246623	0.291609	0.230414	0.251521	0.127941	0.124444	0.223136
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.000000	0.165293	0.236023	0.222865	0.277601	0.261850	0.263126	0.267736	0.206384	0.276541
1986	0.000000	0.201882	0.295412	0.264881	0.329476	0.282382	0.296257	0.227373	0.199928	0.247872
1987	0.000000	0.225254	0.044085	0.052271	0.069593	0.043938	-0.005311	0.080252	0.047848	0.009820
1988	0.000000	0.072356	0.170168	0.173721	0.204495	0.213394	0.000000	0.207919	0.192568	0.185559
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.000000	0.276601	0.372130	0.361079	0.347097	0.230788	0.000000	0.160203	0.295749	0.351701
1992	0.000000	0.123606	0.197628	0.125480	0.240490	0.292605	0.000000	-0.041487	0.110942	0.195583
1993	0.000000	0.136452	0.162428	0.186884	0.236170	0.244400	0.000000	0.115160	0.116485	0.090475
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.000000	0.265206	0.209832	0.150961	0.189813	0.276354	0.000000	0.191633	0.048840	0.086897
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
