Year	tielman	fondation	auguste	rémy	leguay	drot	tony	granier	lary	luc
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.000000	0.000000	0.358798	0.387279	0.000000	0.000000	0.514008	0.000000	0.000000	0.243608
1959	0.000000	0.000000	0.132695	0.449366	0.000000	0.000000	0.109307	0.000000	0.000000	0.196247
1960	0.000000	0.000000	0.246118	0.367726	0.000000	0.375046	0.248011	0.142894	0.000000	0.479676
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.000000	0.000000	0.223383	0.264425	0.000000	0.000000	0.335321	-0.038247	0.000000	0.359745
1963	0.000000	0.000000	0.273697	0.195825	0.000000	0.000000	0.353356	0.166870	0.000000	0.670084
1964	0.000000	0.000000	0.405533	0.000000	0.000000	0.000000	0.314403	0.296040	0.000000	0.504364
1965	0.000000	0.000000	0.384471	0.000000	0.000000	0.000000	0.213179	0.306830	0.000000	0.497055
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.000000	0.000000	0.564585	0.267587	0.000000	0.000000	0.226488	0.000000	0.000000	0.633796
1968	0.000000	0.000000	0.375961	0.000000	0.000000	0.000000	0.258241	0.196545	0.000000	0.612416
1969	0.000000	0.000000	0.297170	0.000000	0.000000	0.000000	0.312800	0.000000	0.000000	0.574924
1970	0.000000	0.000000	0.547478	0.591694	0.000000	0.000000	0.338338	0.685944	0.000000	0.728572
1971	0.000000	0.000000	0.565909	0.598214	0.000000	0.633843	0.353873	0.620982	0.000000	0.628388
1972	0.000000	0.000000	0.516939	0.312703	0.000000	0.000000	0.429709	0.423963	0.000000	0.500571
1973	0.000000	0.000000	0.447814	0.346110	0.000000	0.000000	0.354904	0.542253	0.000000	0.478823
