Year	elio petri	vigevano »	veneck	galabru	martell	cassel	cooxe	palanco	bargman	brioly
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.341147	0.000000	0.000000
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1959	0.000000	0.000000	0.000000	0.000000	0.289276	0.000000	0.000000	0.626261	0.000000	0.000000
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.292738	0.000000	0.000000
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.000000	0.771535	0.000000	0.000000	0.380958	0.501882	0.000000	0.559143	0.000000	0.000000
1964	0.000000	0.831843	0.000000	0.000000	0.000000	0.489592	0.000000	0.382472	0.000000	0.000000
1965	0.000000	0.000000	0.000000	0.000000	0.000000	0.336064	0.000000	0.245503	0.309426	0.000000
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.000000	0.000000	0.794813	0.773690	0.767661	0.767069	0.766868	0.764902	0.762510	0.755520
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.000000	0.000000	0.000000	0.027568	0.000000	0.289452	0.000000	0.150447	0.000000	0.000000
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.000000	0.000000	0.000000	0.484121	0.648540	0.499932	0.000000	0.000000	0.000000	0.000000
1980	0.000000	0.000000	0.000000	0.220812	0.321387	0.341622	0.000000	0.417811	0.000000	0.000000
1981	0.000000	0.000000	0.000000	0.471875	0.570495	0.443396	0.000000	0.527128	0.000000	0.000000
1982	0.875468	0.000000	0.000000	0.319679	0.368808	0.353933	0.000000	0.402308	0.000000	0.000000
1983	0.000000	0.000000	0.000000	0.343121	0.412759	0.361511	0.000000	0.334328	0.000000	0.000000
1984	0.000000	0.000000	0.000000	0.396628	0.184315	0.317080	0.000000	0.360641	0.161449	0.000000
1985	0.000000	0.000000	0.000000	0.232887	0.000000	0.098014	0.000000	0.192877	0.000000	0.000000
1986	0.000000	0.000000	0.000000	0.369606	0.000000	0.431366	0.000000	0.331860	0.000000	0.000000
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.000000	0.000000	0.000000	0.401381	0.182024	0.264918	0.000000	0.000000	0.000000	0.000000
1992	0.000000	0.000000	0.000000	0.349741	0.040383	0.306317	0.000000	0.000000	0.000000	0.000000
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.290790	0.000000	0.000000	0.037154	0.000000	0.068687	0.000000	0.000000	0.000000	0.000000
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.000000	0.000000	0.000000	0.000000	0.133643	0.315651	0.000000	0.000000	0.000000	0.000000
1999	0.000000	0.000000	0.000000	0.000000	0.000000	0.263137	0.000000	0.000000	0.000000	0.000000
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.000000	0.000000	0.000000	0.000000	0.000000	0.182582	0.000000	0.000000	0.000000	0.000000
2003	0.000000	0.000000	0.000000	0.000000	0.499877	0.270217	0.000000	0.000000	0.000000	0.000000
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
