Year	enrico maria	alain	james	4.150.000	corrado	venzaghi	1.640.000	1.620.000	arnoldo	190.591
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.000000	0.157525	0.354518	0.636304	0.367792	0.000000	0.565913	0.463686	0.470091	0.000000
1954	0.000000	0.397307	0.182728	0.814134	0.522178	0.793889	0.790084	0.785138	0.484437	0.776642
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.000000	0.272826	0.260337	0.397610	0.406335	0.000000	0.434719	0.608049	0.414543	0.000000
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.000000	0.386291	0.355724	0.000000	0.425853	0.000000	0.000000	0.000000	0.351157	0.000000
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.000000	0.196330	0.355620	0.310763	0.120330	0.000000	0.000000	0.382413	0.266642	0.000000
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.000000	0.306495	0.124470	0.353451	0.111738	0.000000	0.000000	0.000000	0.208170	0.000000
1966	0.000000	0.169874	0.051384	0.472212	0.332152	0.000000	0.000000	0.000000	0.256208	0.000000
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.000000	0.185366	0.170002	0.185558	0.095322	0.000000	0.000000	0.000000	0.141739	0.000000
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.000000	0.293933	0.167267	0.000000	0.188658	0.000000	0.000000	0.030104	0.157415	0.000000
1972	0.858549	0.311733	0.164301	0.308957	0.222117	0.000000	0.244692	0.000000	0.258393	0.000000
1973	0.000000	0.141118	0.265838	0.280827	0.211614	0.000000	0.372615	0.114708	0.158192	0.000000
1974	0.000000	0.188746	0.335183	0.000000	0.142046	0.000000	0.000000	0.000000	0.247912	0.000000
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.000000	0.146877	0.061370	0.000000	0.152019	0.000000	0.000000	0.000000	0.278172	0.000000
1977	0.000000	0.232491	0.088821	0.000000	0.278519	0.000000	0.000000	0.000000	0.273610	0.000000
1978	0.000000	0.302493	0.229577	0.000000	0.263705	0.000000	0.000000	0.012008	0.177770	0.000000
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.000000	0.174453	0.155245	0.000000	0.263839	0.000000	0.000000	-0.009268	0.235333	0.000000
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.000000	0.309941	0.239666	0.000000	0.217908	0.000000	0.000000	-0.001037	0.074252	0.000000
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.000000	0.097598	0.219242	0.000000	0.125800	0.000000	0.000000	0.000000	0.233864	0.000000
1985	0.000000	0.187205	0.150348	0.000000	0.376251	0.000000	0.000000	0.000000	0.342907	0.000000
1986	0.000000	0.150426	0.242068	0.000000	0.142305	0.000000	0.000000	0.000000	0.124105	0.000000
1987	0.000000	0.252625	0.229682	0.000000	0.436293	0.000000	0.137467	0.128539	0.357313	0.000000
1988	0.000000	0.365063	0.303897	0.000000	0.342119	0.000000	0.000000	0.000000	0.164888	0.000000
1989	0.000000	0.129135	0.075921	0.000000	0.281712	0.000000	0.000000	0.000000	0.265553	0.000000
1990	0.000000	0.362710	0.271192	0.000000	0.377131	0.000000	0.000000	0.067455	0.394815	0.000000
1991	0.000000	0.309931	0.246665	0.000000	0.237034	0.000000	0.000000	0.000000	0.263832	0.000000
1992	0.000000	0.377751	0.354919	0.000000	0.346976	0.000000	0.000000	0.000000	0.327582	0.000000
1993	0.000000	0.111786	0.077497	0.000000	0.113541	0.000000	0.000000	0.000000	0.181709	0.000000
1994	0.000000	0.136822	0.167569	0.000000	0.198135	0.000000	0.000000	0.223590	0.217488	0.000000
1995	0.000000	0.324520	0.179278	0.000000	0.139132	0.000000	0.000000	0.111897	0.138210	0.000000
1996	0.000000	0.288490	0.306214	0.000000	0.383626	0.000000	0.000000	0.000000	0.399233	0.000000
1997	0.000000	0.292170	0.141165	0.000000	0.303000	0.000000	0.000000	0.000000	0.226886	0.000000
1998	0.000000	0.212513	0.222773	0.000000	0.231410	0.000000	0.000000	0.000000	0.226197	0.000000
1999	0.000000	0.211039	0.195369	0.000000	0.286690	0.000000	0.000000	0.000000	0.281365	0.000000
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.000000	0.307943	0.257411	0.000000	0.264946	0.000000	0.000000	0.000000	0.237125	0.000000
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.000000	0.411358	0.328793	0.000000	0.343186	0.000000	0.000000	0.000000	0.334520	0.000000
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
