Year	ubaldo viotti	galassini	mario ruccione	e. leone	antonio calderara	rudolf moralt	roberto benagllo	simonetti	faliero	labroca
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.327055	0.000000	0.539735
1953	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.336192	0.077569	0.000000	0.166764
1954	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.453217	0.122959	0.000000	0.316821
1955	0.000000	0.491696	0.000000	0.713347	0.000000	0.000000	0.710758	0.230826	0.000000	0.454222
1956	0.000000	0.537793	0.000000	0.000000	0.000000	0.000000	0.493303	0.210450	0.000000	0.501193
1957	0.000000	0.473352	0.000000	0.000000	0.000000	0.000000	0.472827	0.333995	0.000000	0.505073
1958	0.000000	0.456807	0.716567	0.000000	0.000000	0.711738	0.438760	0.378555	0.000000	0.340058
1959	0.000000	0.523222	0.000000	0.000000	0.000000	0.000000	0.141216	0.240036	0.000000	0.442736
1960	0.000000	0.359036	0.000000	0.000000	0.000000	0.000000	0.000000	0.304317	0.000000	0.450519
1961	0.000000	0.339758	0.000000	0.000000	0.000000	0.000000	0.000000	0.432559	0.000000	0.341406
1962	0.000000	0.460368	0.000000	0.000000	0.000000	0.000000	0.000000	0.385589	0.000000	0.416215
1963	0.000000	0.311282	0.000000	0.000000	0.000000	0.000000	0.000000	0.286646	0.000000	0.000000
1964	0.000000	0.129393	0.000000	0.000000	0.000000	0.000000	0.000000	0.419099	0.000000	0.244374
1965	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.360104	0.000000	0.477227
1966	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.207041	0.000000	0.000000
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.000000	0.256072	0.000000	0.000000	0.000000	0.000000	0.000000	0.003893	0.000000	0.170548
1969	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.301495	0.000000	0.322149
1970	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.301795	0.000000	0.000000
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.334694	0.000000	0.517446
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.349821	0.000000	0.000000
1976	0.720909	0.000000	0.000000	0.000000	0.712620	0.000000	0.000000	0.497064	0.700342	0.000000
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.000000	0.000000	0.000000	0.000000	0.397309	0.000000	0.000000	0.198989	0.000000	0.000000
1979	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.167984	0.243326	0.000000
1980	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.099040	0.198623	0.000000
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.242849	0.144949	0.000000
1984	0.000000	0.281248	0.000000	0.000000	0.000000	0.000000	0.000000	0.278979	0.000000	0.148207
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.000000	-0.016359	0.000000	0.000000	0.000000	0.000000	0.000000	0.445339	0.000000	0.000000
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.249218	0.125467	0.000000
1992	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.149709	0.292457	0.000000
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.210039	0.318635	0.000000
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
