Year	mompracem	diane kruger	filippo	giuliana d' olanda	a.10	ingrid	portofino	federica	0522/693601	ercole
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.000000	0.000000	0.307820	0.000000	0.742228	0.255504	0.152719	0.353083	0.000000	0.216674
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.000000	0.000000	0.157148	0.000000	0.000000	0.231136	0.197740	0.000000	0.000000	0.095706
1953	0.000000	0.000000	0.215808	0.766796	0.000000	0.290370	0.163259	0.679297	0.000000	0.120031
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.124784	0.000000	0.248031	0.743810	0.000000	0.324711	0.132118	0.584088	0.000000	0.023015
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	-0.010848	0.000000	0.122828	0.000000	0.000000	0.212473	-0.064216	0.235436	0.000000	-0.069739
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.364704	0.000000	0.257020	0.000000	0.000000	0.381794	0.128922	0.519500	0.000000	0.260296
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.271928	0.000000	0.324249	0.000000	0.000000	0.287351	0.172147	0.408829	0.000000	0.307512
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.293653	0.000000	0.241297	0.000000	0.000000	0.163632	0.306904	0.198955	0.000000	0.195292
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.187099	0.000000	0.090436	0.000000	0.000000	0.261372	0.066829	0.203693	0.000000	0.022061
1979	0.246306	0.000000	0.367632	0.000000	0.000000	0.413349	0.167977	0.242538	0.000000	0.113212
1980	0.257271	0.000000	0.328569	0.000000	0.000000	0.267049	0.077203	0.320565	0.000000	0.019975
1981	0.142476	0.000000	0.195204	0.000000	0.000000	0.268197	0.027917	0.322601	0.000000	0.132441
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.127446	0.000000	0.280289	0.000000	0.000000	0.298679	0.123362	0.274756	0.000000	0.249107
1984	0.231493	0.000000	0.205619	0.000000	0.000000	0.180775	0.176356	0.075140	0.000000	0.172542
1985	0.295232	0.000000	0.264785	0.000000	0.000000	0.236014	0.093517	0.255922	0.000000	0.087394
1986	0.000000	0.000000	0.331829	0.000000	0.000000	0.326675	0.064993	0.387324	0.000000	0.200983
1987	0.298862	0.000000	0.260634	0.000000	0.000000	0.288133	0.146614	0.409658	0.000000	0.075421
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.122901	0.000000	0.218775	0.000000	0.000000	0.306147	-0.001250	0.271194	0.000000	0.151626
1990	0.000000	0.000000	0.278526	0.000000	0.000000	0.236700	0.115725	0.271229	0.000000	0.206579
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.000000	0.000000	0.233831	0.000000	0.000000	0.188577	0.171211	0.205636	0.000000	0.054289
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.308902	0.000000	0.241251	0.000000	0.000000	0.328870	-0.016308	0.232434	0.000000	0.145555
1999	0.043099	0.000000	0.212126	0.000000	0.000000	0.339741	-0.002876	0.251986	0.000000	0.181837
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.268213	0.000000	0.107673	0.000000	0.000000	0.180884	0.203865	0.324750	0.000000	-0.100118
2002	0.054374	0.000000	0.026395	0.000000	0.000000	0.265916	0.055282	0.158882	-0.118337	0.084356
2003	0.311837	0.000000	0.091688	0.000000	0.000000	0.169776	0.148976	0.198184	0.721783	0.149266
2004	0.263302	0.783130	0.129377	0.000000	0.000000	0.529098	0.153951	0.353304	0.000000	0.113175
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
