Year	van straatten	javert	sanders	stratton	regan	raimondo faussone	callagham	callaghan	ilario bregoli	innerfleld
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.000000	0.000000	0.456426	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.658683
1953	0.000000	0.000000	0.285573	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.000000	0.000000	0.266683	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.000000	0.000000	0.295236	0.000000	0.000000	0.000000	0.000000	0.292312	0.000000	0.000000
1958	0.000000	0.000000	0.080923	0.000000	0.000000	0.000000	0.000000	0.203460	0.000000	0.000000
1959	0.000000	0.000000	0.472894	0.000000	0.000000	0.000000	0.232814	0.317195	0.000000	0.000000
1960	0.000000	0.000000	0.126795	0.000000	0.000000	0.000000	0.000000	0.121711	0.000000	0.000000
1961	0.757917	0.000000	0.311511	0.257941	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.000000	0.000000	0.118844	0.455839	0.000000	0.000000	0.000000	0.184100	0.000000	0.000000
1964	0.000000	0.260127	0.176483	0.157401	0.000000	0.000000	0.000000	0.178643	0.000000	0.000000
1965	0.000000	0.000000	0.225227	0.000000	0.000000	0.000000	0.000000	0.189387	0.000000	0.000000
1966	0.000000	0.000000	0.385544	0.000000	0.199282	0.000000	0.000000	0.346638	0.000000	0.000000
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.000000	0.000000	0.367596	0.000000	0.000000	0.000000	0.000000	0.308753	0.000000	0.000000
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.000000	0.000000	0.136788	0.000000	0.000000	0.000000	0.000000	0.155063	0.000000	0.000000
1971	0.000000	0.000000	0.149502	0.000000	0.000000	0.000000	0.000000	0.196951	0.000000	0.000000
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.000000	0.000000	0.160804	0.000000	0.000000	0.000000	0.000000	0.203247	0.000000	0.000000
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.000000	0.000000	0.172462	0.000000	0.161188	0.000000	0.667611	0.239624	0.000000	0.000000
1978	0.000000	0.000000	0.094329	0.000000	0.000000	0.000000	0.000000	0.099962	0.000000	0.000000
1979	0.000000	0.000000	0.415196	0.000000	0.739513	0.000000	0.000000	0.183456	0.000000	0.000000
1980	0.000000	0.000000	0.222534	0.000000	0.513844	0.000000	0.000000	0.473512	0.000000	0.000000
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.000000	0.420058	0.290013	0.000000	0.316917	0.000000	0.000000	0.587200	0.000000	0.000000
1983	0.000000	-0.027812	0.148623	0.000000	0.109420	0.000000	0.000000	0.160904	0.000000	0.000000
1984	0.000000	0.394300	0.313510	0.303088	0.294157	0.000000	0.000000	0.537251	0.000000	0.000000
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.000000	0.360738	0.393828	0.217009	0.347381	0.000000	0.000000	0.740718	0.000000	0.000000
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.000000	0.000000	0.154970	0.047147	0.187348	0.000000	0.000000	0.318320	0.000000	0.000000
1990	0.000000	0.000000	0.255998	0.206302	0.167709	0.000000	0.000000	0.372523	0.000000	0.000000
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.000000	0.000000	-0.049264	0.000000	0.191535	0.000000	0.000000	0.396550	0.000000	0.000000
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.000000	0.000000	0.191970	0.000000	0.199568	0.673705	0.000000	0.576492	0.660000	0.000000
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
