Year	1.080.000	fenzl	aldo	2.450.000	antonio	giuseppe	6.100.000	1.820.000	ansaldi	appiano
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.000000	0.000000	0.412940	0.000000	0.390456	0.373353	0.000000	0.000000	0.000000	0.351150
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.785817	0.778789	0.381150	0.753978	0.434110	0.460867	0.000000	0.000000	0.634176	0.363433
1954	0.499567	0.642620	0.466574	0.440554	0.443967	0.451183	0.466314	0.585904	0.522751	0.085007
1955	0.000000	0.000000	0.519432	0.561223	0.501997	0.489211	0.723243	0.721627	0.721013	0.720668
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.000000	0.000000	0.221834	0.000000	0.237339	0.243745	0.227662	0.000000	0.144400	0.294660
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.230339	0.000000	0.261718	0.399751	0.279056	0.297610	0.268707	0.000000	0.300597	0.168627
1962	0.206809	0.000000	0.304279	0.407691	0.296194	0.270168	0.371201	0.000000	0.466454	0.255404
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.000000	0.000000	0.297483	0.212815	0.299531	0.251942	0.245131	0.000000	0.264224	0.167312
1966	0.298232	0.000000	0.391608	0.201555	0.375403	0.389785	0.333906	0.000000	0.381161	0.184719
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.187118	0.000000	0.263571	0.127608	0.315084	0.274604	0.074344	-0.054189	0.088073	0.121499
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.513360	0.000000	0.462901	0.371101	0.443641	0.412510	0.382102	0.000000	0.488184	0.286630
1971	0.000000	0.000000	0.465376	0.496994	0.406684	0.413726	0.000000	0.100923	0.434357	0.139072
1972	0.325427	0.000000	0.332969	0.289962	0.311163	0.312404	0.193918	0.000000	0.425065	0.090641
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
