Year	molière	«	silvio berlusconi	quarantaduenne	ciarlatano	fernandel	didatta	famosissimo	michelangelo	murray
1948	0.282446	-0.009861	0.000000	0.391430	0.000000	0.000000	0.000000	0.413954	0.214526	0.553619
1949	0.440213	0.036154	0.000000	0.244974	0.000000	0.000000	0.000000	0.335875	0.333227	0.406670
1950	0.284109	-0.078641	0.000000	0.463773	0.000000	0.225775	0.000000	0.377102	0.232020	0.228461
1951	0.252778	0.035179	0.000000	0.346910	0.308928	0.511423	0.000000	0.530296	0.266174	0.373815
1952	0.368760	-0.063325	0.000000	0.270999	0.210746	0.276947	0.000000	0.432835	0.229916	0.392584
1953	0.320968	-0.126762	0.000000	0.309955	0.379849	0.360056	0.000000	0.417298	0.285758	0.369891
1954	0.139980	-0.032408	0.000000	0.284491	0.101100	0.264347	0.080790	0.327991	0.192434	0.316463
1955	0.373828	-0.010720	0.000000	0.283213	0.226180	0.476246	0.000000	0.439326	0.242895	0.630390
1956	0.268487	-0.022245	0.000000	0.299182	0.210499	0.598100	0.000000	0.355850	0.125118	0.512848
1957	0.364034	-0.041493	0.000000	0.278625	0.335354	0.390529	0.000000	0.278908	0.074122	0.274729
1958	0.344703	-0.017873	0.000000	0.254987	0.263736	0.310265	0.000000	0.384763	0.080611	0.454322
1959	0.343230	0.030872	0.000000	0.124992	0.443393	0.317819	0.000000	0.474298	0.063697	0.407403
1960	0.331158	-0.011100	0.000000	0.310423	0.367478	0.317402	0.271032	0.367107	0.205300	0.263060
1961	0.316495	0.093038	0.000000	0.232967	0.171844	0.204567	0.000000	0.434881	0.255308	0.345008
1962	0.382727	0.133893	0.000000	0.227518	0.354321	0.451121	0.000000	0.434600	0.318877	0.258959
1963	0.214232	0.008508	0.000000	0.170794	-0.002064	0.228160	0.000000	0.273713	0.205465	0.206833
1964	0.477607	0.010784	0.000000	0.300964	0.241744	0.441611	0.000000	0.523344	0.329228	0.338332
1965	0.312201	0.111691	0.000000	0.308683	0.312891	0.253580	0.000000	0.491158	0.093893	0.391305
1966	0.136353	0.021680	0.000000	0.273869	0.285429	0.246386	0.242983	0.235685	0.171976	0.283624
1967	0.326962	0.130961	0.000000	0.175376	0.478445	0.292731	0.000000	0.463858	0.324257	0.364834
1968	0.287172	0.020384	0.000000	0.256371	0.127992	0.443938	0.000000	0.382531	0.317831	0.349784
1969	0.352220	0.104365	0.000000	0.281075	0.392856	0.154905	0.268922	0.398958	0.083215	0.220732
1970	0.333897	0.027536	0.000000	0.375717	0.294652	0.197488	0.000000	0.296803	0.129369	0.256245
1971	0.302450	0.081183	0.000000	0.386064	0.122205	0.344350	0.328882	0.486792	0.244752	0.253834
1972	0.334153	0.062945	0.000000	0.235283	0.324331	0.297260	0.000000	0.457625	0.256631	0.090874
1973	0.400571	0.096579	0.000000	0.364027	0.103185	0.235915	0.000000	0.378581	0.299875	0.396475
1974	0.229405	-0.057929	0.000000	0.284141	-0.014899	0.155383	0.000000	0.274570	0.093410	0.332437
1975	0.295647	0.006651	0.000000	0.452978	0.274535	0.031526	0.350865	0.369615	0.213347	0.173066
1976	0.397543	0.133883	0.000000	0.378879	0.453528	0.356243	0.299253	0.635631	0.343409	0.253797
1977	0.404217	0.194679	0.000000	0.389096	0.394958	0.175172	0.448916	0.274613	0.199305	0.398683
1978	0.225110	0.090525	0.000000	0.451002	0.247448	0.145093	0.438477	0.277078	0.195038	0.299168
1979	0.292246	-0.039368	0.000000	0.415502	0.328361	0.131932	0.308229	0.356683	0.217853	0.270534
1980	0.314403	0.042885	0.312383	0.509464	0.231532	0.246638	0.453088	0.540040	0.391321	0.348983
1981	0.360870	0.044204	0.000000	0.454841	0.225322	0.199865	0.636119	0.368055	0.245973	0.310309
1982	0.333157	0.125298	0.000000	0.476849	0.262207	0.200562	0.356307	0.372080	0.314211	0.250620
1983	0.291320	0.188664	0.124484	0.335311	0.401169	0.114203	0.267214	0.434217	0.342951	0.330480
1984	0.315540	0.126474	0.000000	0.355332	0.395068	0.311861	0.288546	0.358613	0.323372	0.170367
1985	0.299688	0.102406	0.000000	0.311559	0.350919	0.142148	0.439106	0.410166	0.351629	0.141033
1986	0.340310	0.087754	0.000000	0.292695	0.208420	0.146452	0.483041	0.188937	0.429809	0.136301
1987	0.222609	0.139681	0.000000	0.426226	0.292567	0.124909	0.420104	0.434773	0.291911	0.157801
1988	0.209239	0.097640	0.000000	0.659557	0.515195	0.427648	0.345070	0.418643	0.364858	0.312621
1989	0.470709	0.141887	0.000000	0.455617	0.491694	0.262901	0.454401	0.489740	0.402840	0.329474
1990	0.226577	0.105858	0.000000	0.425480	0.493236	0.229499	0.499758	0.475809	0.145689	0.194080
1991	0.277509	0.085991	0.000000	0.333923	0.528000	0.239874	0.425562	0.460670	0.344967	0.343047
1992	0.369355	0.051479	0.358479	0.430490	0.190449	0.190906	0.444906	0.349477	0.353921	0.189943
1993	0.348447	0.129683	0.334496	0.321186	0.079256	0.193131	0.319124	0.488059	0.274920	0.293903
1994	0.264548	0.100139	0.392543	0.399149	0.410100	0.315099	0.344050	0.448692	0.235199	0.250636
1995	0.233278	0.104992	0.400485	0.048543	0.463921	0.119699	0.352527	0.303221	0.284469	0.255885
1996	0.309636	0.075205	0.515862	0.336492	0.505015	0.214527	0.319120	0.366631	0.278109	0.328631
1997	0.324321	0.080020	0.340745	0.320437	0.344195	0.215197	0.499561	0.350693	0.303548	0.414871
1998	0.227667	0.098149	0.216274	0.384414	0.374304	0.086841	0.499266	0.421210	0.305679	0.395706
1999	0.334287	0.144205	0.446033	0.289229	0.356923	0.093143	0.504458	0.418757	0.229557	0.236069
2000	0.461764	0.242573	0.000000	0.344275	0.640727	0.204769	0.297695	0.445577	0.352925	0.291418
2001	0.220354	0.176871	0.122005	0.145687	0.313513	0.075632	0.347932	0.424144	0.306007	0.376519
2002	0.310233	0.071049	0.295257	0.201127	0.324912	0.000000	0.386146	0.359157	0.283196	0.252381
