Year	natta	fella	tambroni	ciriaco de mita	nicolazzi	rumor	ardigò	sallzzonl	gastaldetti	aldisio
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.126733	0.445461	0.000000	0.000000	0.000000	0.264450	0.000000	0.000000	0.000000	0.453838
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.096991	0.219435	0.247988	0.000000	0.000000	0.383623	0.692449	0.691540	0.689942	0.689499
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.202991	0.096678	0.232411	0.000000	0.259781	0.230567	0.000000	0.000000	0.000000	0.078275
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.184967	0.346442	0.329985	0.000000	0.396109	0.129142	0.276563	0.000000	0.000000	0.000000
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.197131	0.047123	0.053210	0.000000	0.202244	0.113018	0.170077	0.000000	0.000000	0.000000
1977	0.205845	0.138769	0.451695	0.000000	0.325648	0.180645	0.274271	0.000000	0.000000	0.132002
1978	0.349050	0.043359	0.430310	0.000000	0.562373	0.522442	0.356675	0.000000	0.000000	0.000000
1979	0.147425	0.169252	0.240932	0.000000	0.260322	0.154068	0.130882	0.000000	0.000000	0.000000
1980	0.341225	0.145266	0.230547	0.000000	0.312312	0.269631	0.158923	0.000000	0.000000	0.000000
1981	0.173733	0.061779	0.176556	0.000000	-0.046473	-0.083551	-0.011724	0.000000	0.000000	0.000000
1982	0.238532	0.119096	0.296768	0.359510	0.234476	0.348205	0.154734	0.000000	0.000000	0.000000
1983	0.396927	0.119024	0.375203	0.524934	0.310120	0.347772	0.389178	0.000000	0.000000	0.000000
1984	0.281968	0.062092	0.240019	0.332681	0.233229	0.384661	0.184504	0.000000	0.000000	0.000000
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.276020	-0.001515	0.073317	0.271950	0.147899	0.037826	0.168969	0.000000	0.000000	0.000000
1987	0.420823	0.157153	0.307820	0.713381	0.473222	0.337746	0.208623	0.000000	0.000000	0.165647
1988	0.297528	-0.026457	0.230906	0.309241	0.340287	0.155323	0.191947	0.000000	0.000000	0.284227
1989	0.379725	0.062044	0.308743	0.260627	0.450234	0.164621	0.170216	0.000000	0.000000	0.011016
1990	0.304950	-0.034326	0.324224	0.369806	0.389474	0.352264	0.228761	0.000000	0.000000	-0.006777
1991	0.265189	0.049628	0.487554	0.397663	0.327645	0.393668	0.154976	0.000000	0.000000	0.187531
1992	0.228505	0.146465	0.267283	0.161794	0.167651	0.238677	0.209277	0.000000	0.000000	0.058403
1993	0.111408	0.045297	0.111669	0.321324	0.234095	0.268021	0.238130	0.000000	0.000000	0.000000
1994	0.133841	0.052497	0.115952	0.233484	0.183084	0.242578	0.362609	0.000000	0.000000	0.149035
1995	0.101860	0.021171	0.213955	0.000000	0.395043	0.112616	0.161315	0.000000	0.000000	0.035687
1996	-0.152580	-0.147181	-0.131161	0.120802	0.046847	0.020086	-0.001670	0.000000	0.000000	-0.072814
1997	0.170682	0.158794	0.150424	0.000000	0.353217	0.200655	0.235292	0.000000	0.000000	0.078801
1998	0.189304	0.110527	0.360868	0.000000	0.240917	0.357349	0.172448	0.000000	0.000000	0.000000
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	-0.047855	-0.166644	0.106781	0.000000	0.070473	0.192605	0.233010	0.000000	0.000000	0.219631
2001	0.182419	0.212028	0.224848	0.000000	0.000000	0.193603	0.258614	0.000000	0.000000	0.000000
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.265249	0.210100	0.175118	0.000000	0.000000	0.254529	0.240623	0.000000	0.000000	0.000000
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
