Year	paolo	corrado	carlo musso	pietro	vittorio	faralli	ricordatelo	giorgio colorni	guarrato	cavalcante
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.204218	0.503968	0.000000	0.352623	0.197620	0.754171	0.000000	0.745960	0.000000	0.000000
1955	0.159133	0.293816	0.000000	0.182185	0.061104	0.291475	0.000000	0.000000	0.000000	0.000000
1956	0.280451	0.359466	0.000000	0.284594	0.245505	0.265623	0.000000	0.000000	0.000000	0.000000
1957	0.161378	0.467428	0.000000	0.197611	0.149063	0.000000	0.000000	0.000000	0.000000	0.000000
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.160229	0.389067	0.000000	0.124141	0.134623	0.289425	0.000000	0.000000	0.000000	0.000000
1961	0.171559	0.236163	0.000000	0.205517	0.202401	0.000000	0.000000	0.000000	0.000000	0.000000
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.164605	0.318295	0.000000	0.185839	0.118706	0.098809	0.121233	0.000000	0.000000	0.000000
1967	0.148078	0.289206	0.000000	0.262515	0.037059	0.079156	0.257384	0.000000	0.000000	0.000000
1968	0.175678	0.249046	0.000000	0.382347	0.260400	0.000000	0.000000	0.000000	0.000000	0.000000
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.129246	0.234950	0.000000	0.133654	0.148360	0.000000	0.000000	0.000000	0.094364	0.184092
1972	0.108904	0.277125	0.761642	0.193971	0.272902	0.000000	0.000000	0.000000	0.191786	0.000000
1973	0.079033	0.176603	0.000000	0.269923	0.311432	0.244302	0.222428	0.000000	0.297213	0.000000
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.274229	0.156871	0.000000	0.295221	0.302985	0.195363	0.259139	0.000000	0.373155	0.000000
1977	0.264523	0.283102	0.000000	0.342946	0.325050	0.000000	0.746034	0.000000	0.742853	0.738687
1978	0.213204	0.203266	0.000000	0.315361	0.251985	0.000000	0.209416	0.000000	0.000000	0.356440
1979	0.148120	0.076878	0.000000	0.228403	0.200682	0.000000	0.104720	0.000000	0.000000	0.000000
1980	0.151610	0.252501	0.000000	0.226399	0.205087	0.382673	0.000000	0.000000	0.000000	0.000000
1981	0.224547	0.158489	0.000000	0.249653	0.199021	0.225489	0.000000	0.000000	0.000000	0.000000
1982	0.130988	0.199271	0.000000	0.204030	0.191717	0.322117	0.413664	0.000000	0.000000	0.000000
1983	0.134796	0.277151	0.000000	0.205478	0.143165	0.000000	0.182095	0.000000	0.000000	0.383459
1984	0.207447	0.216723	0.000000	0.364470	0.217412	0.000000	0.000000	0.000000	0.000000	0.000000
1985	0.345411	0.359196	0.000000	0.365327	0.267867	0.249211	0.000000	0.000000	0.000000	0.000000
1986	0.202988	0.312215	0.000000	0.299153	0.253755	0.339222	0.000000	0.000000	0.000000	0.375950
1987	0.306800	0.387234	0.000000	0.429792	0.310877	0.308410	0.003355	0.000000	0.000000	0.192523
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.187274	0.181287	0.000000	0.188040	0.214844	0.230416	0.000000	0.000000	0.000000	0.000000
1990	0.170689	0.096553	0.000000	0.129513	0.098026	0.117883	0.323712	0.000000	0.000000	0.000000
1991	0.192974	0.314252	0.000000	0.129915	0.273518	0.022855	0.000000	0.000000	0.000000	0.205673
1992	0.337745	0.369752	0.000000	0.309927	0.298348	0.370829	0.000000	0.000000	0.000000	0.309823
1993	0.130551	0.294456	0.000000	0.162097	0.182267	0.000000	0.000000	0.000000	0.000000	0.223239
1994	0.378409	0.454090	0.000000	0.259743	0.245506	0.000000	0.000000	0.000000	0.000000	0.383186
1995	-0.025216	0.015973	0.000000	0.098299	-0.032285	0.089376	0.171526	0.000000	0.000000	-0.005813
1996	0.270422	0.296948	0.000000	0.221908	0.328365	0.000000	0.037611	0.000000	0.000000	0.390015
1997	0.230630	0.257413	0.000000	0.162126	0.183058	0.000000	0.000000	0.000000	0.000000	0.286789
1998	0.181868	0.237920	0.356837	0.187559	0.049444	0.187937	0.000000	0.000000	0.000000	0.129200
1999	0.103382	0.198792	0.000000	0.056097	0.099102	0.056500	0.000000	0.000000	0.000000	0.246338
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.122518	0.174071	0.000000	0.202259	0.044484	0.000000	0.000000	0.000000	0.000000	0.129395
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
