Year	roberto napoleone	bottinelli	8591	﻿circus	sluscra	ferraro	itauano	raordinaria	﻿swing	alpariston
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.000000	0.532836	0.000000	0.000000	0.000000	0.323014	0.000000	0.000000	0.000000	0.000000
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.000000	0.000000	0.192659	0.000000	0.000000	0.242268	0.000000	0.000000	0.000000	0.000000
1954	0.000000	0.000000	0.000000	0.000000	0.000000	0.145085	0.000000	0.000000	0.000000	0.000000
1955	0.000000	0.000000	0.000000	0.000000	0.000000	0.076451	0.000000	0.000000	0.000000	0.000000
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.000000	0.252619	0.000000	0.000000	0.000000	0.287843	0.000000	0.000000	0.000000	0.000000
1960	0.000000	0.101433	0.000000	0.000000	0.000000	0.120454	0.208936	0.000000	0.000000	0.000000
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.000000	0.000000	0.000000	0.000000	0.000000	0.236737	0.221272	0.000000	0.000000	0.000000
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.000000	0.000000	0.387955	0.000000	0.000000	0.180172	0.000000	0.000000	0.000000	0.000000
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.000000	0.365039	0.763360	0.758698	0.757878	0.178187	0.748892	0.744023	0.743101	0.740709
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.000000	0.084951	0.000000	0.000000	0.000000	0.082894	0.187723	0.000000	0.198390	0.000000
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.000000	0.126993	0.000000	0.000000	0.000000	0.143354	0.080349	0.000000	0.000000	0.000000
1980	0.000000	0.083427	0.000000	0.000000	0.000000	0.272228	0.000000	0.000000	0.000000	0.162531
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.769945	0.205168	0.000000	0.000000	0.000000	0.121473	0.290198	0.000000	0.000000	0.083581
1983	0.000000	0.000000	0.000000	0.000000	0.000000	0.107406	0.000000	0.000000	0.000000	0.000000
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.000000	0.000000	0.000000	0.000000	0.000000	0.114930	-0.000259	0.000000	0.000000	0.000000
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.000000	0.000000	0.000000	0.000000	0.000000	-0.133514	0.000000	0.000000	0.000000	0.000000
1990	0.000000	0.261328	0.000000	0.000000	0.000000	0.195820	0.000000	0.000000	0.000000	0.000000
1991	0.436524	0.066797	0.000000	0.000000	0.000000	-0.061632	0.000000	0.000000	0.385408	0.000000
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.000000	0.162379	0.000000	0.000000	0.000000	-0.159156	0.171894	0.000000	0.000000	0.226638
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.000000	-0.010736	0.000000	0.000000	0.000000	-0.115869	0.116237	0.000000	0.000000	0.000000
1999	0.000000	-0.052777	0.000000	0.000000	0.000000	0.044630	0.129335	0.000000	0.000000	0.000000
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.000000	0.000000	0.000000	0.000000	0.000000	0.170625	0.173496	0.000000	0.000000	0.000000
