Year	josi	leo	acerbi	chiamparino	amerio	cerchio	arnaldo forlani	crosignani	franco tigani	lodi
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.000000	0.045677	0.145007	0.000000	0.132929	-0.118908	0.000000	0.000000	0.000000	-0.061130
1957	0.000000	0.135168	0.037866	0.000000	0.234394	-0.081287	0.000000	0.000000	0.000000	-0.041153
1958	0.000000	0.121348	0.056968	0.000000	0.101976	-0.262245	0.000000	0.000000	0.000000	0.056549
1959	0.000000	-0.004385	0.004475	0.000000	-0.055168	-0.278328	0.000000	0.000000	0.000000	-0.041310
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.000000	0.177797	-0.062986	0.000000	0.320340	-0.092039	0.000000	0.000000	0.000000	0.064181
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.000000	0.267537	0.040466	0.000000	0.411888	-0.036958	0.000000	0.000000	0.000000	0.037569
1966	0.000000	0.294952	0.136303	0.000000	0.479691	-0.046468	0.000000	0.000000	0.000000	0.036587
1967	0.000000	0.285068	0.202934	0.000000	0.379434	-0.252393	0.000000	0.000000	0.000000	0.032492
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.000000	0.155426	0.151648	0.000000	0.469430	-0.102436	0.000000	0.073903	0.000000	0.130274
1970	0.000000	0.280893	0.303719	0.000000	0.411515	-0.231208	0.000000	0.000000	0.000000	0.024268
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.000000	0.226851	0.325698	0.000000	0.348829	0.185375	0.000000	0.000000	0.000000	0.295825
1973	0.000000	0.341757	0.210096	0.000000	0.074237	-0.197095	0.000000	0.248544	0.000000	0.214407
1974	0.000000	0.212879	0.271483	0.000000	0.126187	-0.097816	0.000000	0.000000	0.000000	0.188625
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.573829	0.336960	0.260917	0.000000	0.526217	-0.156909	0.000000	0.767668	0.000000	0.279419
1977	0.261539	0.235255	-0.029870	0.000000	0.225333	-0.119986	0.000000	0.000000	0.000000	0.059015
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.185112	0.198982	0.031929	0.000000	0.242611	-0.128011	0.000000	0.000000	0.000000	0.112955
1980	0.000000	0.260536	0.312904	0.408603	0.211876	-0.043089	0.000000	0.247829	0.000000	0.257510
1981	0.000000	0.191929	0.249824	0.000000	0.238521	-0.147202	0.000000	0.000000	0.000000	0.049959
1982	0.391559	0.271214	0.223543	0.357170	0.262259	-0.014774	0.000000	0.000000	0.000000	0.176603
1983	0.291587	0.271094	0.174279	0.360353	0.397536	0.098392	0.000000	0.421123	0.000000	0.147198
1984	0.303787	0.396031	0.154380	0.323297	0.295490	0.015159	0.000000	0.000000	0.000000	0.109259
1985	0.392320	0.331146	0.177108	0.218584	0.093856	0.060209	0.000000	0.000000	0.000000	-0.010060
1986	0.523121	0.458149	0.459271	0.000000	0.293688	-0.007260	0.000000	0.000000	0.000000	0.130839
1987	0.470382	0.439330	0.430733	0.000000	0.199814	0.187926	0.000000	0.240776	0.000000	0.081705
1988	0.460994	0.377679	0.363354	0.344890	0.212775	0.038045	0.000000	0.342530	0.000000	0.247972
1989	0.580777	0.297984	0.331119	0.197587	0.141657	0.096757	0.311583	0.223631	0.000000	0.244944
1990	0.412172	0.287182	0.287625	0.415070	0.192261	0.174691	0.498455	0.323774	0.579365	0.171720
1991	0.407138	0.315115	0.183533	0.290831	0.286042	0.218568	0.577260	0.463199	0.563988	0.170345
1992	0.438394	0.263996	0.052296	0.614774	0.112703	0.142733	0.770248	0.320247	0.764942	0.226373
1993	0.240365	0.341824	0.219754	0.338614	0.171864	0.112293	0.366264	0.213741	0.512684	0.067861
1994	0.386507	0.300906	0.116861	0.389549	0.223138	-0.094170	0.273458	0.305375	0.000000	0.067830
1995	0.194920	0.184796	0.195112	0.177589	0.139728	0.006980	0.292157	0.290347	0.000000	0.045924
1996	0.169166	0.278637	0.010204	0.131569	0.230623	0.005405	0.000000	0.318052	0.000000	-0.030837
1997	0.180018	0.238269	0.202575	0.197659	0.273616	-0.080436	0.000000	0.246932	0.000000	0.201660
1998	0.000000	0.328682	0.271554	0.061149	0.245164	-0.166057	0.000000	0.261773	0.393626	-0.026495
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.167211	0.260361	0.216325	0.141591	0.207015	0.082645	0.000000	0.253743	0.000000	0.332331
2002	0.000000	0.376261	0.094919	0.086352	0.411030	0.029798	0.000000	0.432238	0.000000	0.128415
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.162926	0.116688	0.164596	0.086308	0.224124	0.162788	0.000000	0.233327	0.000000	0.133048
2005	0.000000	0.369370	0.281000	0.033861	0.236574	0.177983	0.000000	0.374522	0.000000	0.205814
