Year	giuliana d' olanda	ronaldo	dionisio	scorp	'15	3499561	lilliblt	siiqmund	leau	bo.l
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.000000	0.000000	0.184919	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1958	0.505581	0.000000	0.302688	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.768500	0.000000	0.263561	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1961	0.000000	0.000000	0.211060	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.000000	0.000000	0.112607	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1964	0.786612	0.000000	0.169265	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1965	0.605872	0.000000	0.482506	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1966	0.000000	0.000000	0.337020	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.000000	0.000000	0.289187	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.000000	0.000000	0.185785	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1973	0.000000	0.000000	0.077583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.000000	0.000000	0.247918	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.000000	0.272087	0.226984	0.000000	0.000000	0.000000	0.260264	0.000000	0.000000	0.000000
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.000000	0.000000	0.212593	0.000000	0.000000	0.242943	0.000000	0.000000	0.000000	0.000000
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.000000	0.759453	0.281127	0.753296	0.752998	0.747188	0.746744	0.740628	0.740573	0.739713
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.000000	0.000000	0.209406	0.000000	0.000000	0.000000	0.000000	0.291982	0.000000	0.187702
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.000000	0.362929	0.389524	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.178842
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.000000	0.182946	0.176458	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.012924
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.000000	0.021212	0.427444	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.248330
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.000000	0.018347	0.341053	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.221519
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
