Year	11,10	opere pubbliche	riccardo alemanno	11,55	8,45	mounette	22,47	19,13	23,21	15,05
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.458902	0.000000	0.000000	0.483990	0.786407	0.000000	0.000000	0.000000	0.000000	0.487681
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.577723	0.000000	0.000000	0.646732	0.641729	0.000000	0.000000	0.000000	0.000000	0.199006
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.426097	0.000000	0.000000	0.607929	0.439625	0.000000	0.437495	0.000000	0.000000	0.578093
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.320696	0.000000	0.000000	0.163380	0.303696	0.000000	0.000000	0.109946	0.000000	0.171505
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.563003	0.000000	0.000000	0.495216	0.327344	0.000000	0.000000	0.027526	0.000000	0.045197
1969	0.203455	0.000000	0.000000	0.494400	0.480565	0.000000	0.000000	0.038785	0.000000	0.246303
1970	0.488832	0.000000	0.000000	0.536789	0.355206	0.000000	0.000000	0.478492	0.000000	0.326731
1971	0.625953	0.000000	0.000000	0.545294	0.375522	0.000000	0.000000	0.400580	0.000000	0.344976
1972	0.456553	0.000000	0.000000	0.522419	0.171744	0.000000	0.000000	0.000000	0.000000	0.326256
1973	0.582984	0.000000	0.000000	0.796577	0.364407	0.000000	0.000000	0.000000	0.000000	0.496077
1974	0.458000	0.000000	0.000000	0.597368	0.438901	0.000000	0.000000	0.000000	0.000000	0.179053
1975	0.275875	0.000000	0.000000	0.331324	0.210571	0.613871	0.000000	0.248838	0.000000	0.175459
1976	0.100357	0.000000	0.000000	0.332476	0.108907	0.640418	0.000000	0.000000	0.000000	0.184583
1977	0.821915	0.000000	0.000000	0.161961	0.258924	0.777039	0.000000	0.000000	0.000000	-0.040360
1978	0.592611	0.000000	0.000000	0.323592	0.269008	0.185534	0.000000	0.000000	0.000000	0.135642
1979	0.496864	0.000000	0.000000	0.158345	0.335070	0.000000	0.000000	0.298537	0.383399	0.245760
1980	0.283362	0.000000	0.000000	0.131017	0.340232	0.554977	0.000000	0.000000	0.000000	0.372610
1981	0.573602	0.000000	0.000000	0.192663	0.261085	0.270479	0.000000	0.000000	0.000000	0.133725
1982	0.391021	0.000000	0.000000	0.035465	0.245692	0.146838	0.000000	0.080278	0.000000	0.138889
1983	0.183739	0.000000	0.000000	0.134663	0.492358	0.669009	0.000000	0.194271	0.000000	0.304974
1984	0.347391	0.000000	0.000000	0.107835	0.350650	0.551802	0.000000	0.000000	0.000000	0.141290
1985	0.514194	0.000000	0.000000	0.181258	0.301643	0.000000	0.000000	0.298679	0.000000	0.375578
1986	0.511781	0.000000	0.000000	0.201144	0.373322	0.000000	0.000000	0.000000	0.649801	0.123429
1987	0.272604	0.000000	0.000000	0.096286	0.479288	0.439360	0.768981	0.768379	0.764882	0.166983
1988	0.388047	0.000000	0.000000	0.126217	0.410165	0.322471	0.000000	0.000000	0.000000	0.045188
1989	0.222800	0.000000	0.000000	0.148634	0.324020	0.329363	0.000000	0.000000	0.000000	0.265670
1990	0.203717	0.000000	0.000000	0.024067	0.296806	0.000000	0.000000	0.000000	0.000000	0.098098
1991	0.352376	0.000000	0.000000	0.074504	0.423390	0.000000	0.000000	0.000000	0.000000	0.262440
1992	0.333171	0.000000	0.000000	0.138283	0.545034	0.000000	0.000000	0.000000	0.000000	0.102250
1993	0.459817	0.000000	0.000000	0.543008	0.574433	0.000000	0.423312	0.000000	0.000000	0.266109
1994	0.622513	0.000000	0.000000	0.210031	0.469920	0.000000	0.000000	0.000000	0.395344	0.367362
1995	0.269800	0.000000	0.000000	0.326550	0.392282	-0.044940	0.000000	0.292181	0.000000	0.467242
1996	0.395473	0.000000	0.000000	0.565150	0.524857	0.163012	0.000000	0.000000	0.000000	0.254250
1997	0.502930	0.790508	0.000000	0.399591	0.534361	0.000000	0.000000	0.000000	0.000000	0.361143
1998	0.608430	0.859022	0.000000	0.409400	0.613308	0.258173	0.467165	0.000000	0.000000	0.568300
1999	0.656883	0.789701	0.000000	0.544730	0.548636	0.414248	0.000000	0.551788	0.000000	0.491614
2000	0.634377	0.000000	0.000000	0.041064	0.531025	0.598354	0.000000	0.480403	0.000000	0.347698
2001	0.596768	0.000000	0.000000	0.484287	0.655572	0.660833	0.000000	0.000000	0.000000	0.620316
2002	0.496595	0.000000	0.383642	0.507621	0.605272	0.692039	0.000000	0.000000	0.000000	0.503333
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.483703	0.000000	0.000000	0.000000	0.490298	0.000000	0.000000	0.000000	0.000000	0.222535
2005	0.661843	0.000000	0.803254	0.629223	0.693950	0.602228	0.000000	0.000000	0.000000	0.761404
