Year	furio colombo	gentile	barbera	del noce	•caro	mauro mazza	virgilio bellone	••egregio	•al caro	hans vonk
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.000000	0.140071	0.031937	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.000000	0.114592	0.054759	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.000000	0.061104	0.090483	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1963	0.000000	0.058522	0.031480	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1964	0.000000	0.028323	0.019681	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1965	0.000000	0.076998	0.112939	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1966	0.000000	0.055128	-0.079114	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1967	0.000000	0.384259	0.046038	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1968	0.000000	0.289486	0.159860	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1969	0.000000	0.096304	0.037163	0.000000	0.000000	0.000000	0.485023	0.000000	0.000000	0.000000
1970	0.000000	0.034612	-0.131021	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1971	0.000000	0.102430	0.119108	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1972	0.000000	0.130898	0.068540	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
