Year	paolo	jacques	tony	salvador	gino	ezio minotto	james	bourlot	aag	zverev
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.204356	0.266143	0.385202	0.258514	0.173017	0.000000	0.358787	0.725304	0.000000	0.715851
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.135159	0.292264	0.243474	0.213952	0.254925	0.000000	0.087124	0.320298	0.722081	0.000000
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.284010	0.319436	0.217818	0.133048	0.390640	0.000000	0.071621	0.423391	0.000000	0.000000
1973	0.092519	0.428721	0.233448	0.018257	0.282456	0.000000	0.268655	0.336330	0.286661	0.000000
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.133301	0.211111	0.083022	0.134409	0.265777	0.000000	0.061424	0.496893	0.000000	0.000000
1977	0.270526	0.276090	0.364480	0.254602	0.375550	0.000000	0.142792	0.461289	0.000000	0.000000
1978	0.034224	0.338485	0.362706	0.149745	0.378846	0.000000	0.269953	0.414666	0.000000	0.000000
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.197696	0.229327	0.176526	0.025582	0.192114	0.000000	0.243615	0.267901	0.000000	0.000000
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.233121	0.235941	0.268005	-0.005207	0.306769	0.000000	0.271702	0.267639	0.000000	0.000000
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.176965	0.050491	0.148883	0.073059	0.223007	0.000000	0.163882	0.000000	0.000000	0.000000
1987	0.112801	0.088827	0.126635	0.129674	-0.032801	0.000000	0.195786	0.088703	0.000000	0.000000
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.295439	0.226803	0.245136	0.117783	0.269921	0.734395	0.263580	0.441670	0.000000	0.000000
1990	0.348391	0.176194	0.320551	0.129144	0.375981	0.000000	0.173161	0.482862	0.000000	0.000000
1991	0.108435	0.216727	0.276861	0.068151	0.182660	0.000000	0.152459	0.224789	0.000000	0.000000
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.302368	0.324592	0.208836	0.289385	0.358201	0.000000	0.203928	0.000000	0.000000	0.000000
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.215190	0.246444	0.264274	0.191732	0.167383	0.000000	0.121434	0.000000	0.191310	0.000000
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.310970	0.247317	0.256171	0.233297	0.348752	0.000000	0.309894	0.000000	0.000000	0.000000
1999	0.089835	0.200480	0.209634	0.200867	0.221238	0.000000	0.230566	0.000000	0.000000	0.000000
2000	0.226874	0.251077	0.149328	0.208989	0.407641	0.000000	0.167750	0.000000	0.259433	0.000000
2001	0.061924	0.172779	0.136895	0.243773	0.180803	0.000000	0.261455	0.000000	0.000000	0.000000
2002	0.135327	0.061054	0.136467	0.309982	0.076502	0.000000	0.166533	0.000000	0.000000	0.000000
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
