Year	20,57	0175/926.115	682.426	c%a	22222	6565.2777	rateàbili	exceisior	carlotta	gréè
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.245893	0.000000
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.157436	0.000000
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.364901	0.000000
1968	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.376030	0.000000
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.000000	0.000000	0.000000	0.000000	0.407541	0.000000	0.000000	0.000000	0.307273	0.000000
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.000000	0.374599	0.000000	0.000000	0.000000	0.000000	0.000000	0.305766	0.215998	0.000000
1982	0.833261	0.832220	0.823576	0.823381	0.822188	0.821551	0.821187	0.819809	0.327558	0.819557
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.000000	0.000000	0.000000	0.000000	0.196360	0.000000	0.000000	0.000000	0.417764	0.000000
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.066648	0.138470	0.000000
1988	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.107063	0.000000
1989	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.275209	0.000000
1990	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.012215	0.000000
1991	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.192579	0.000000
1992	0.221996	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.271388	0.000000
1993	-0.011235	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.392585	0.000000
1994	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.242760	0.000000
1995	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.199070	0.185696	0.000000
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.349186	0.000000
1998	0.211876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.038086	0.000000
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.291980	0.000000
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
