Year	denicutin	cnnavesio	6244	7316	8448	2166	a71409	2084	pratrlvero	5279
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.000000	0.000000	0.515538	0.000000	0.000000	0.486797	0.000000	0.574469	0.000000	0.000000
1953	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.255872	0.000000	0.000000
1954	0.000000	0.000000	0.484936	0.000000	0.000000	0.000000	0.000000	0.311996	0.000000	0.000000
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.000000	0.000000	0.464307	0.000000	0.000000	0.446446	0.000000	0.214622	0.000000	0.000000
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.811376	0.810159	0.808438	0.804078	0.799824	0.797699	0.797462	0.796960	0.796958	0.796679
1961	0.000000	0.000000	0.445293	0.387854	0.437510	0.398101	0.000000	0.402224	0.000000	0.000000
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.197879	0.000000	0.147756
1972	0.000000	0.000000	0.000000	0.000000	0.000000	0.230272	0.000000	0.155540	0.000000	0.361667
1973	0.000000	0.000000	0.000000	0.000000	0.000000	0.364563	0.000000	0.276570	0.000000	0.000000
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.425655	0.000000	0.000000
1976	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.039709	0.000000	0.000000
1977	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1978	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1979	0.000000	0.000000	0.000000	0.000000	0.000000	0.158302	0.000000	0.000000	0.000000	0.000000
1980	0.000000	0.000000	0.000000	0.000000	0.079610	0.397460	0.000000	0.000000	0.000000	0.000000
1981	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1982	0.000000	0.000000	0.000000	0.000000	0.000000	-0.027285	0.000000	0.090682	0.000000	0.000000
1983	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.196922	0.000000	0.000000
1984	0.000000	0.000000	0.000000	0.000000	0.000000	0.207361	0.000000	0.123309	0.000000	0.207358
1985	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.236791	0.000000	0.000000
1986	0.000000	0.000000	0.000000	0.000000	0.000000	0.031507	0.000000	0.000000	0.000000	0.000000
1987	0.000000	0.000000	0.000000	0.000000	-0.069014	-0.005285	0.000000	-0.047858	0.000000	0.139080
1988	0.000000	0.000000	0.000000	0.000000	0.000000	0.128754	0.000000	0.074269	0.000000	0.000000
1989	0.000000	0.000000	0.000000	0.000000	0.000000	0.157152	0.000000	0.194350	0.000000	0.000000
1990	0.000000	0.000000	0.000000	0.000000	0.000000	0.234012	0.000000	0.165182	0.000000	0.000000
1991	0.000000	0.000000	0.000000	0.000000	0.000000	0.056836	0.000000	0.051720	0.000000	0.000000
1992	0.000000	0.000000	0.000000	0.000000	0.000000	0.439570	0.000000	0.000000	0.000000	0.000000
1993	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1994	0.000000	0.000000	0.000000	0.000000	0.000000	0.380988	0.000000	0.000000	0.000000	0.000000
1995	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.127486	0.374137	0.084338
1996	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1997	0.000000	0.000000	0.000000	0.000000	0.000000	0.255138	0.000000	0.000000	0.000000	0.000000
1998	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.137272	0.000000	0.000000
1999	0.000000	0.000000	0.000000	0.000000	0.000000	0.276988	0.000000	0.000000	0.000000	0.000000
2000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001151
2002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.060090	0.000000	0.000000
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2005	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
