Year	fochista	trapuzzano	liedholm	aldo moro	pier luigi pesce	bayard	lukanov	40/42	tremagha	seeler
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.000000	0.000000	0.055290	0.000000	0.000000	-0.022468	0.000000	0.000000	0.000000	0.246380
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.000000	0.000000	0.058753	0.000000	0.000000	0.195239	0.000000	0.000000	0.000000	0.000000
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.671387	0.000000	0.185319	0.000000	0.000000	0.511610	0.000000	0.000000	0.000000	0.626787
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.128772	0.000000	0.063147	0.275678	0.000000	0.156930	0.000000	0.000000	0.000000	0.112581
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.000000	0.000000	0.028663	0.341450	0.000000	0.293875	0.000000	0.015162	0.000000	0.352866
1983	0.000000	0.000000	-0.097091	0.475500	0.000000	0.103700	0.000000	0.000000	0.000000	0.084254
1984	0.000000	0.000000	-0.096779	0.143371	0.000000	0.391809	0.000000	0.000000	0.000000	0.000000
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.000000	0.000000	0.086031	0.235792	0.000000	0.333431	0.000000	0.000000	0.000000	0.169959
1987	0.000000	0.000000	0.004169	0.647220	0.249181	0.153866	0.000000	0.000000	0.000000	0.000000
1988	0.000000	0.000000	0.023068	0.000000	0.000000	0.279598	0.000000	0.000000	0.000000	0.000000
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.000000	0.000000	0.027200	0.313387	0.167249	0.000000	0.000000	0.000000	0.000000	0.000000
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.000000	0.000000	0.005552	0.328629	0.000000	0.124587	0.000000	0.000000	0.000000	0.217652
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.000000	0.000000	0.261301	0.000000	0.240300	0.137712	0.000000	0.110368	0.000000	0.000000
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.000000	0.000000	0.183842	0.000000	0.078805	0.000000	0.100709	0.000000	0.000000	0.001006
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.000000	0.000000	0.129128	0.000000	-0.012496	0.000000	0.000000	0.000000	0.108768	0.000000
2002	0.000000	0.659583	0.196154	0.000000	0.645373	0.000000	0.000000	0.192121	0.631878	0.000000
2003	0.000000	0.000000	0.299673	0.000000	0.000000	0.644142	0.640943	0.640918	0.126731	0.000000
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
