Year	caprotti	giorgio bertani	nichi grauso	treves	dall' oglio	savelli	napoleone	armando	ugo boccassi	de vecchi
1948	0.000000	0.000000	0.000000	0.262875	0.000000	0.000000	0.174194	0.288870	0.000000	0.000000
1949	0.000000	0.000000	0.000000	0.323697	0.000000	0.168805	0.161502	0.312022	0.000000	0.000000
1950	0.000000	0.000000	0.000000	-0.065766	0.000000	0.000000	0.074095	0.098592	0.000000	0.000000
1951	0.000000	0.000000	0.000000	0.329497	0.000000	0.259480	0.017318	0.222877	0.000000	0.000000
1952	0.000000	0.000000	0.000000	0.124838	0.000000	0.344150	0.098689	0.175233	0.000000	0.000000
1953	0.000000	0.000000	0.000000	0.299095	0.000000	0.400216	0.183019	0.266629	0.000000	0.000000
1954	0.000000	0.000000	0.000000	0.019604	0.000000	0.222485	0.182909	0.388829	0.000000	0.000000
1955	0.000000	0.000000	0.000000	0.067024	0.000000	0.086343	0.094719	0.098659	0.000000	0.000000
1956	0.372022	0.000000	0.000000	0.326741	0.000000	0.295984	0.088380	0.111942	0.000000	0.000000
1957	0.000000	0.000000	0.000000	0.247647	0.000000	0.250403	0.123306	0.100361	0.000000	0.000000
1958	0.000000	0.000000	0.000000	0.130260	0.000000	0.266183	0.192694	0.193250	0.000000	0.000000
1959	0.000000	0.000000	0.000000	0.171792	0.000000	0.286707	0.236180	0.237475	0.000000	0.000000
1960	0.000000	0.000000	0.000000	0.208574	0.000000	-0.031185	0.058113	0.180185	0.000000	0.000000
1961	0.187289	0.000000	0.000000	0.234306	0.000000	0.191905	0.061937	0.178324	0.000000	0.000000
1962	0.000000	0.000000	0.000000	0.321002	0.000000	0.069018	0.036309	0.239193	0.000000	0.000000
1963	0.000000	0.000000	0.000000	0.241793	0.000000	0.166168	0.228258	0.163282	0.000000	0.000000
1964	0.100204	0.000000	0.000000	0.254147	0.000000	0.272485	0.085324	0.146369	0.000000	0.000000
1965	0.000000	0.000000	0.000000	0.225475	0.000000	0.000000	0.173896	0.085837	0.000000	0.000000
1966	0.000000	0.000000	0.000000	0.279890	0.000000	0.050793	0.031630	0.212114	0.000000	0.000000
1967	0.000000	0.000000	0.000000	0.321255	0.000000	0.062853	0.133527	0.225844	0.000000	0.000000
1968	0.000000	0.000000	0.000000	0.142883	0.741463	0.363464	0.114342	0.171043	0.000000	0.000000
1969	0.000000	0.000000	0.000000	0.237123	0.000000	0.341865	0.102726	0.127408	0.000000	0.000000
1970	0.000000	0.000000	0.000000	0.350549	0.000000	0.221841	0.197262	-0.039892	0.000000	0.000000
1971	0.000000	0.000000	0.000000	0.328632	0.000000	0.305630	0.123794	0.259221	0.000000	0.000000
1972	0.000000	0.000000	0.000000	0.373658	0.000000	0.321083	0.228434	0.314711	0.000000	0.000000
1973	0.000000	0.000000	0.000000	0.289418	0.000000	0.277979	0.042960	0.103852	0.000000	0.000000
1974	0.516375	0.000000	0.000000	0.296179	0.000000	0.429736	0.159485	0.263075	0.000000	0.000000
1975	0.434750	0.000000	0.000000	0.169203	0.000000	0.336730	0.231761	0.266340	0.000000	0.000000
1976	0.000000	0.000000	0.000000	0.277310	0.000000	0.382832	0.245210	0.269605	0.000000	0.000000
1977	0.365802	0.767835	0.000000	0.412550	0.000000	0.394742	0.227487	0.222309	0.000000	0.000000
1978	0.000000	0.000000	0.000000	0.400411	0.000000	0.465034	0.275042	0.260967	0.000000	0.000000
1979	0.000000	0.000000	0.000000	0.193574	0.000000	0.318510	0.289129	0.175784	0.000000	0.000000
1980	0.000000	0.000000	0.000000	0.175910	0.000000	0.446475	0.178240	0.235972	0.000000	0.753812
1981	0.286233	0.000000	0.000000	0.251648	0.000000	0.351042	0.077017	0.203419	0.000000	0.744342
1982	0.257626	0.000000	0.000000	0.202170	0.000000	0.286244	0.275869	0.085270	0.000000	0.000000
1983	0.000000	0.000000	0.000000	0.297464	0.000000	0.387633	0.224056	0.163099	0.000000	0.000000
1984	0.464676	0.000000	0.000000	0.484643	0.000000	0.290369	0.215922	0.286689	0.000000	0.000000
1985	0.000000	0.000000	0.000000	0.281389	0.000000	0.145823	0.149512	0.071070	0.000000	0.000000
1986	0.268447	0.000000	0.000000	0.344015	0.000000	0.268418	0.244141	0.209998	0.000000	0.000000
1987	0.147576	0.000000	0.000000	0.311392	0.000000	0.325165	0.292804	0.349108	0.000000	0.000000
1988	0.188030	0.000000	0.000000	0.285053	0.000000	0.113106	0.322346	0.133982	0.000000	0.000000
1989	0.000000	0.000000	0.000000	0.377937	0.000000	0.297550	0.181893	0.154145	0.000000	0.617031
1990	0.233774	0.000000	0.000000	0.172402	0.000000	0.368819	0.138096	0.129141	0.000000	0.000000
1991	0.000000	0.000000	0.000000	0.355966	0.000000	0.356301	0.186959	0.280712	0.548242	0.262668
1992	0.142922	0.000000	0.000000	0.232884	0.000000	0.370439	0.245646	0.127506	0.000000	0.134689
1993	0.220710	0.000000	0.000000	0.239747	0.000000	0.309871	0.194963	0.211484	0.000000	0.000000
1994	0.000000	0.000000	0.000000	0.089314	0.000000	0.264113	0.280122	0.191793	0.000000	0.000000
1995	0.000000	0.000000	0.000000	0.173273	0.000000	0.401692	0.137808	0.260706	0.000000	0.000000
1996	0.258039	0.000000	0.000000	0.174953	0.000000	0.355793	0.184788	0.251935	0.000000	0.000000
1997	0.168461	0.000000	0.000000	0.144491	0.000000	0.249609	0.300834	0.047758	0.000000	0.000000
1998	0.138821	0.000000	0.758569	0.256823	0.000000	0.375922	0.197487	0.161772	0.710590	0.000000
1999	0.140515	0.000000	0.000000	0.284342	0.000000	0.256267	0.234879	0.149803	0.554689	0.000000
2000	0.000000	0.000000	0.000000	0.245329	0.000000	0.359301	0.283562	0.092554	0.000000	0.000000
2001	0.000000	0.000000	0.000000	0.186635	0.000000	0.384374	0.273868	0.015083	0.000000	0.000000
2002	0.000000	0.000000	0.000000	0.148488	0.000000	0.393660	0.328169	0.147020	0.000000	0.000000
2003	0.000000	0.000000	0.000000	0.381995	0.000000	0.325438	0.218081	0.181622	0.000000	0.000000
2004	0.000000	0.000000	0.000000	0.343490	0.000000	0.000000	0.304346	0.118690	0.000000	0.000000
2005	0.000000	0.000000	0.000000	0.392639	0.000000	0.359646	0.302626	0.158185	0.000000	0.000000
