Year	1.080.000	giovanni	1.040.000	1.640.000	1.240.000	incisore	corrado	offreei	antonio	1.620.000
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.000000	0.457967	0.000000	0.000000	0.000000	0.540734	0.546682	0.000000	0.467864	0.000000
1950	0.000000	0.343934	0.000000	0.000000	0.000000	0.606270	0.564440	0.000000	0.421059	0.000000
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.787568	0.419121	0.762246	0.671671	0.748197	0.599051	0.374648	0.742674	0.469070	0.570546
1954	0.545779	0.518576	0.546359	0.761984	0.610244	0.374125	0.469173	0.432524	0.552751	0.735888
1955	0.000000	0.327614	0.508373	0.601927	0.431773	0.472754	0.375456	0.484296	0.464029	0.540454
1956	0.301750	0.310327	0.471406	0.496517	0.000000	0.223196	0.333525	0.091420	0.354000	0.531002
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.000000	0.176355	0.000000	0.000000	0.000000	0.335849	0.232790	0.422715	0.261550	0.000000
1960	0.268059	0.167127	0.000000	0.000000	0.000000	0.560826	0.314563	0.303663	0.300010	0.000000
1961	0.236341	0.147722	0.000000	0.000000	0.000000	0.227341	0.179853	0.347835	0.266269	0.000000
1962	0.183577	0.211181	0.000000	0.000000	0.000000	0.177089	0.196074	0.327459	0.193620	0.148903
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.101808	0.116425	0.142055	0.162828	0.000000	0.311878	0.121002	0.000000	0.186658	0.000000
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.236059	0.262321	0.000000	0.000000	0.000000	0.370352	0.321563	0.000000	0.322651	0.000000
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.045512	0.109728	0.000000	0.000000	0.000000	0.470165	0.176049	0.000000	0.227955	0.000000
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
