Year	terruzzi	sozzi	bidder	﻿frigorifero	giglioni	﻿capannoni	3264	619,65	giampiero taverna	lagorìo
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.000000	0.505601	0.735262	0.733296	0.731795	0.000000	0.000000	0.000000	0.000000	0.000000
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.170398	0.000000	0.235320	0.000000	0.000000	0.000000	0.194998	0.000000	0.000000	0.000000
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.483142	0.735992	0.000000	0.000000	0.106083	0.000000	0.730085	0.729580	0.000000	0.000000
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.114679	0.000000	0.000000	0.187451	0.000000	0.000000	0.563924	0.591663	0.000000	0.000000
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.000000	0.332797	0.000000	0.000000	0.364131	0.000000	0.000000	0.000000	0.000000	0.000000
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.308598	0.354862	0.000000	-0.029963	0.000000	0.000000	0.352928	0.000000	0.000000	0.000000
1969	0.062259	0.045959	0.000000	0.000000	0.075031	0.000000	0.000000	0.000000	0.000000	0.000000
1970	0.000000	0.159176	0.000000	0.000000	0.507306	0.000000	0.561017	0.000000	0.000000	0.000000
1971	0.000000	0.229534	0.000000	0.000000	0.445523	0.000000	0.000000	0.000000	0.000000	0.000000
1972	0.000000	0.227574	0.000000	0.000000	0.357566	0.000000	0.000000	0.000000	0.000000	0.000000
1973	0.000000	0.212953	0.000000	0.000000	0.325352	-0.080683	0.000000	0.000000	0.000000	0.000000
1974	0.000000	0.320904	0.000000	0.000000	0.396940	0.000000	0.000000	0.000000	0.000000	0.000000
1975	0.000000	0.251439	0.000000	0.000000	0.238915	0.000000	0.000000	0.000000	0.000000	0.000000
1976	0.757565	0.411671	0.000000	0.000000	0.474164	0.730502	0.000000	0.000000	0.729448	0.726521
1977	0.000000	0.475137	0.000000	0.000000	0.465696	0.000000	0.000000	0.000000	0.000000	0.000000
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.000000	0.190912	0.000000	0.000000	0.364728	0.000000	0.000000	0.000000	0.000000	0.000000
1980	0.059101	0.344202	0.000000	0.000000	0.325411	0.000000	0.000000	0.000000	0.000000	0.340144
1981	0.097390	0.203323	0.000000	0.000000	0.356727	0.000000	0.000000	0.000000	0.000000	0.185805
1982	0.246472	0.134152	0.000000	0.000000	0.300145	0.000000	0.000000	0.000000	0.000000	0.151856
1983	0.304123	0.276473	0.000000	0.000000	0.381790	0.000000	0.000000	0.000000	0.261184	0.206121
1984	0.284963	0.303243	0.179510	0.000000	0.245105	0.000000	0.062228	0.000000	0.000000	0.196634
1985	0.356985	0.275792	0.291534	0.000000	0.246942	0.000000	0.183225	0.000000	0.000000	0.266157
1986	0.328508	0.211198	0.000000	0.000000	0.408051	0.000000	0.000000	0.000000	0.000000	0.434694
1987	0.297156	0.211649	0.000000	0.000000	0.242336	0.000000	0.000000	0.000000	0.000000	0.169335
1988	0.155261	0.179184	0.000000	0.000000	0.276568	0.000000	0.000000	0.000000	0.000000	0.246334
1989	0.464980	0.353760	0.000000	0.000000	0.518735	0.000000	0.000000	0.000000	0.000000	0.313731
1990	0.000000	0.202360	-0.091742	0.000000	0.326895	0.109840	0.149191	0.000000	0.000000	0.000000
1991	0.000000	0.468519	0.174260	0.000000	0.455299	0.000000	0.000000	0.000000	0.000000	0.000000
1992	0.386845	0.464623	0.351207	0.000000	0.388475	0.000000	0.000000	0.000000	0.000000	0.000000
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.000000	0.386124	0.000000	0.000000	0.177034	0.000000	0.000000	0.000000	0.000000	0.000000
1995	0.236509	0.218603	0.000000	0.000000	0.272842	0.000000	0.000000	0.000000	0.000000	0.000000
1996	0.000000	0.163001	0.000000	0.000000	0.218705	0.000000	0.000000	0.000000	0.000000	0.000000
1997	0.000000	0.254438	0.000000	0.000000	0.209436	0.000000	0.000000	0.000000	0.000000	0.000000
1998	0.254854	0.287193	0.000000	0.000000	0.288464	0.000000	0.000000	0.000000	0.000000	0.000000
1999	0.000000	0.328443	0.000000	0.000000	0.175569	0.000000	0.112210	0.000000	0.000000	0.000000
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.000000	0.288579	0.000000	0.000000	0.323937	0.000000	0.000000	0.000000	0.000000	0.143510
2002	0.000000	0.286129	0.000000	0.000000	0.218325	0.000000	0.000000	0.000000	0.000000	0.000000
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.000000	0.108640	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
