Year	»	erwin	mansueto	oswald	giocondo	giorgio colorai	heinrich	griniev	ucraino	alsaziano
1948	0.129608	0.000000	0.425290	0.648562	0.215191	0.000000	0.415263	0.000000	0.392068	0.000000
1949	0.045982	0.000000	0.208260	0.000000	0.322271	0.000000	0.441809	0.000000	0.503533	0.180059
1950	0.031020	0.000000	0.308400	0.000000	0.245068	0.000000	0.292307	0.000000	0.388988	0.000000
1951	0.111896	0.000000	0.240234	0.330876	0.290500	0.000000	0.343258	0.000000	0.423348	0.359054
1952	0.080652	0.277150	0.648872	0.000000	0.402858	0.000000	0.499784	0.000000	0.321720	0.295470
1953	0.050106	0.181006	0.475533	0.000000	0.648119	0.000000	0.208230	0.000000	0.322749	0.509691
1954	0.015844	0.382387	0.220162	0.000000	0.358366	0.647719	0.645987	0.000000	0.351377	0.374498
1955	-0.045253	0.258387	0.268908	0.000000	0.286832	0.000000	0.214975	0.000000	0.251533	0.447026
1956	-0.019743	0.288619	0.230951	0.000000	0.184281	0.000000	0.372507	0.000000	0.222969	0.348004
1957	0.132032	0.287139	0.410718	0.000000	0.482137	0.000000	0.304675	0.000000	0.193594	0.439969
1958	0.002229	0.281362	0.141134	0.214685	0.120818	0.000000	0.208938	0.000000	0.178842	0.189333
1959	0.029561	0.309881	0.154010	0.146913	0.144872	0.000000	0.376879	0.000000	0.190894	0.127955
1960	0.092810	0.651946	0.210308	0.467946	0.311090	0.000000	0.409381	0.327540	0.478518	0.524804
1961	0.050480	0.475194	0.279574	0.249813	0.324017	0.000000	0.493709	0.000000	0.442338	0.407709
1962	0.103726	0.373543	0.157702	0.409245	0.264850	0.000000	0.479493	0.000000	0.442283	0.364267
1963	0.128702	0.239879	0.240047	0.122440	0.285518	0.000000	0.430001	0.000000	0.270029	0.361499
1964	0.066408	0.303645	0.178791	0.223255	0.122770	0.000000	0.395854	0.000000	0.426263	0.243709
1965	0.153461	0.248246	0.233559	0.220168	0.186503	0.000000	0.300653	0.000000	0.438177	0.399509
1966	0.107228	0.473773	0.241608	0.408154	0.179840	0.000000	0.538976	0.000000	0.350396	0.313568
1967	0.122209	0.215938	0.269321	0.228388	0.172487	0.000000	0.367131	0.000000	0.344555	0.000000
1968	0.163245	0.380446	0.227349	0.297119	0.131053	0.000000	0.341488	0.000000	0.184246	0.425176
1969	0.086981	0.240700	0.146533	0.311135	0.190058	0.000000	0.402458	0.000000	0.364262	0.281119
1970	0.144976	0.000000	0.230127	0.324690	0.183681	0.000000	0.280681	0.000000	0.537625	0.168919
1971	0.166262	0.425791	0.179163	0.411129	0.223467	0.000000	0.245023	0.000000	0.390119	0.272619
1972	0.085555	0.092594	0.135107	0.271702	0.257020	0.000000	0.480148	0.070312	0.389833	0.210562
1973	0.055751	0.257964	0.298427	0.166161	0.379016	0.000000	0.401273	0.000000	0.380727	0.391188
1974	0.221027	0.095661	0.144489	0.190353	0.219474	0.000000	0.132631	0.000000	0.436177	0.220111
1975	0.111459	0.172786	0.386000	0.311705	0.203550	0.000000	0.548861	0.000000	0.314581	0.283805
1976	0.109307	0.183670	0.185537	0.260763	0.353273	0.000000	0.384309	0.000000	0.645330	0.260937
1977	0.212335	0.236676	0.378693	0.429961	0.162059	0.000000	0.510440	0.000000	0.473386	0.397151
1978	0.092992	0.338259	0.465264	0.379993	0.252309	0.000000	0.407704	0.000000	0.417387	0.474114
1979	0.031980	0.413229	0.254966	0.224764	0.147985	0.000000	0.437836	0.000000	0.416489	0.306180
1980	0.090621	0.270634	0.260260	0.086988	0.103094	0.000000	0.335387	0.000000	0.329743	0.347807
1981	0.045377	0.321800	0.336529	0.143791	0.056747	0.000000	0.420255	0.000000	0.384075	0.447177
1982	0.134632	0.053603	0.218514	0.279667	0.028575	0.000000	0.370795	0.000000	0.338789	0.191408
