Year	alessandro di benedetto	bruce lee	divisionista	noor	bruca lee	sarfaty	re faruk	beatrice	dezza	amelia
1948	0.000000	0.000000	0.000000	0.163737	0.000000	0.000000	0.000000	0.493113	0.000000	0.448216
1949	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.285395	0.203486	0.386816
1950	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.271692	0.075111	0.175449
1951	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.762524	0.410538	0.164721	0.277581
1952	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.616310	0.119368	0.430733
1953	0.000000	0.000000	0.069172	0.000000	0.000000	0.000000	0.000000	0.396160	0.130923	0.264382
1954	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.345523	0.353716	0.362636
1955	0.000000	0.000000	0.000000	0.115952	0.000000	0.000000	0.000000	0.324386	0.006601	0.333940
1956	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.320381	0.193353	0.266918
1957	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.306698	0.005397	0.319143
1958	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.495722	-0.016202	0.220728
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.000000	0.000000	-0.016723	0.000000	0.000000	0.000000	0.000000	0.344968	0.075906	0.260232
1961	0.000000	0.000000	0.000000	-0.056844	0.000000	0.000000	0.000000	0.293342	0.004870	0.215813
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.405035	0.178155	0.341576
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.344364	0.137025	0.260904
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.000000	0.000000	0.000000	0.179000	0.000000	0.196919	0.000000	0.123457	0.170423	0.184806
1968	0.000000	0.000000	0.065861	0.000000	0.000000	0.000000	0.000000	0.314362	-0.006388	0.288808
1969	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.111952	0.136210	0.356218
1970	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.216649	0.726166	0.269257
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.339718	0.223531	0.308659
1973	0.000000	0.400935	0.819543	0.000000	0.000000	0.000000	0.000000	0.240334	0.390888	0.296632
1974	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.330551	0.316998	0.394078
