Year	marion brando	71,25	uol	guarnlerl	65,25	lùn	7433	marilyn monroe	verneuil	oppenheimer
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.000000	0.000000	0.214405	0.000000	0.000000	0.209591	0.000000	0.704144	0.446188	0.189405
1957	0.471004	0.000000	0.050258	0.151848	0.000000	0.298562	0.000000	0.368492	0.288307	0.368377
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.000000	0.724790	0.707197	0.707167	0.706099	0.704891	0.704886	0.000000	0.455216	0.347446
1961	0.000000	0.000000	0.225969	0.457735	0.000000	0.000000	0.486547	0.206558	0.490180	0.174226
1962	0.000000	0.272802	0.284563	0.221259	0.000000	0.261318	0.323921	0.425874	0.281228	0.298871
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.000000	0.252992	0.010926	0.069153	0.114769	0.000000	0.212352	0.000000	0.311266	0.139338
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.000000	0.000000	0.210585	0.151209	0.000000	0.000000	0.000000	0.000000	0.466160	0.700761
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.000000	0.000000	0.159580	0.000000	0.000000	0.000000	0.000000	0.000000	0.501074	0.232547
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.000000	0.000000	0.137730	0.246382	0.000000	0.000000	0.000000	0.000000	0.302733	0.238464
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.181577	0.000000	0.095580	0.000000	0.000000	0.000000	0.000000	0.000000	0.310314	0.104030
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.726075	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.700867	0.574057
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.000000	0.000000	0.108404	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.442541
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.358367
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.396945	0.431763
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
