Year	soraya	anna maria	giuliana d' olanda	margaret	mary	re paolo	gino cervi	rockyv	elisabetta	margot
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.000000	0.000000	0.000000	0.426213	0.501130	0.000000	0.000000	0.000000	0.447598	0.000000
1953	0.388770	0.000000	0.660287	0.349995	0.513877	0.751345	0.750765	0.000000	0.423535	0.515371
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.543547	0.000000	0.000000	0.235102	0.400135	0.000000	0.000000	0.000000	0.609231	0.720676
1956	0.458221	0.000000	0.760254	0.322321	0.385496	0.000000	0.000000	0.000000	0.595006	0.366837
1957	0.297167	0.000000	0.000000	0.370812	0.280966	0.000000	0.000000	0.000000	0.468654	0.334715
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.301891	0.000000	0.769619	0.390277	0.324786	0.753125	0.000000	0.000000	0.439783	0.317581
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.426833	0.776919	0.000000	0.234027	0.215447	0.000000	0.000000	0.000000	0.515174	0.140614
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.177864	0.000000	0.000000	0.278343	0.259657	0.000000	0.000000	0.000000	0.271862	-0.006322
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.367769	0.000000	0.000000	0.418682	0.373994	0.000000	0.000000	0.000000	0.564648	0.299727
1984	0.234452	0.000000	0.000000	0.275230	0.332797	0.000000	0.000000	0.000000	0.516689	-0.119386
1985	0.184698	0.000000	0.000000	0.402930	0.236662	0.000000	0.000000	0.000000	0.503572	0.062751
1986	0.354877	0.000000	0.000000	0.391176	0.303729	0.000000	0.000000	0.000000	0.479674	0.183527
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.186206	0.000000	0.000000	0.321445	0.340657	0.000000	0.000000	0.739297	0.405741	0.426907
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.382027	0.000000	0.000000	0.454741	0.405997	0.000000	0.000000	0.000000	0.474928	0.467836
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.181493	0.000000	0.000000	0.327015	0.289067	0.000000	0.000000	0.000000	0.372051	0.258158
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.576473	0.000000	0.000000	0.489266	0.476718	0.000000	0.000000	0.000000	0.499224	0.310841
