Year	3454	perrin	cassini	giampiero mentii	531.414	zanetta	6264	carver	gianni borgna	6061
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.000000	0.000000	0.202700	0.000000	0.000000	0.000000	0.000000	0.015159	0.000000	0.000000
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.000000	0.000000	0.354356	0.000000	0.000000	0.000000	0.000000	0.181674	0.000000	0.728061
1953	0.000000	0.464296	0.275045	0.000000	0.000000	0.000000	0.000000	-0.055564	0.000000	0.000000
1954	0.000000	0.259189	0.396278	0.000000	0.000000	0.480704	0.000000	0.093733	0.000000	0.000000
1955	0.000000	0.340093	0.304599	0.000000	0.000000	0.185865	0.433041	0.197997	0.000000	0.410482
1956	0.000000	0.359751	0.202219	0.000000	0.000000	0.000000	0.188732	0.171218	0.000000	0.220600
1957	0.000000	0.262076	0.069318	0.000000	0.000000	0.451744	0.396338	0.092655	0.000000	0.298370
1958	0.000000	0.217628	0.182356	0.000000	0.000000	0.154494	0.309495	0.249488	0.000000	0.379280
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.099576	0.135804	0.045615	0.000000	0.000000	0.151549	0.103820	-0.126722	0.000000	0.161102
1961	0.253022	0.238710	0.066225	0.000000	0.000000	0.156938	0.239324	0.217157	0.000000	0.183456
1962	0.128594	0.304989	0.278895	0.000000	0.000000	0.337938	0.258563	0.402953	0.000000	0.394619
1963	0.000000	0.192127	0.322889	0.000000	0.000000	0.298764	0.503806	0.090200	0.000000	0.428389
1964	0.000000	0.322107	0.259627	0.000000	0.000000	0.327610	0.589350	0.293085	0.000000	0.542829
1965	0.410823	0.315510	0.150385	0.000000	0.000000	0.377726	0.000000	0.368605	0.000000	0.510446
1966	0.353987	0.258129	0.221654	0.000000	0.000000	0.180891	0.416152	0.000000	0.000000	0.000000
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.278500	0.380182	0.020411	0.000000	0.000000	0.113980	0.000000	0.000000	0.000000	0.000000
1969	0.762360	0.351594	0.176481	0.000000	0.738357	0.328875	0.733593	0.000000	0.000000	0.000000
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
