Year	sereno freato	malagodi	1'altro	de zaccagnini	gianni pregliasco	lanzavecchia	﻿alka	covelli	marco ciocchetti	mauro cusano
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.732844	0.248594	0.000000	0.000000
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.000000	0.338794	0.000000	0.000000	0.000000	0.736552	0.000000	0.248765	0.000000	0.000000
1955	0.000000	0.331289	0.000000	0.000000	0.000000	0.344487	0.000000	0.365419	0.000000	0.000000
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.000000	0.393511	0.206484	0.000000	0.000000	0.150996	0.000000	0.411281	0.000000	0.000000
1960	0.000000	0.438451	0.176088	0.000000	0.000000	0.212674	0.000000	0.541277	0.000000	0.000000
1961	0.000000	0.391042	0.375758	0.000000	0.000000	0.388901	0.000000	0.393002	0.000000	0.000000
1962	0.000000	0.295433	0.238234	0.000000	0.000000	0.308007	0.000000	0.489838	0.000000	0.000000
1963	0.000000	0.275065	0.164911	0.000000	0.000000	0.246494	0.000000	0.539157	0.000000	0.000000
1964	0.000000	0.188676	0.145302	0.000000	0.000000	0.226403	0.000000	0.311551	0.000000	0.000000
1965	0.000000	0.509991	0.228504	0.000000	0.000000	0.355159	0.000000	0.438115	0.000000	0.000000
1966	0.000000	0.241072	0.754091	0.000000	0.000000	0.459832	0.000000	0.346775	0.000000	0.000000
1967	0.000000	0.480733	0.201714	0.000000	0.000000	0.213686	0.000000	0.467383	0.000000	0.000000
1968	0.000000	-0.057429	-0.101835	0.000000	0.000000	0.000000	0.000000	0.157162	0.000000	0.000000
1969	0.000000	0.014690	-0.030433	0.000000	0.000000	0.000000	0.000000	0.416590	0.000000	0.000000
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.000000	0.269210	0.000000	0.000000	0.000000	0.421554	0.000000	0.250685	0.000000	0.000000
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.000000	0.368518	0.000000	0.748924	0.000000	0.302874	0.000000	0.436773	0.000000	0.000000
1978	0.000000	0.377037	0.000000	0.521120	0.000000	0.155261	0.000000	0.190220	0.000000	0.000000
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.000000	0.369461	0.000000	0.000000	0.000000	0.312867	0.000000	0.169737	0.000000	0.000000
1981	0.000000	0.320310	0.000000	0.000000	0.000000	0.261276	0.000000	0.238592	0.000000	0.000000
1982	0.000000	0.348726	0.000000	0.000000	0.000000	0.378798	0.000000	0.165108	0.000000	0.000000
1983	0.461578	0.366558	0.000000	0.000000	0.000000	0.209244	0.000000	0.087070	0.000000	0.000000
1984	0.000000	0.375184	0.000000	0.000000	0.000000	0.327396	0.000000	0.372161	0.000000	0.000000
1985	0.788965	0.416581	0.000000	0.000000	0.000000	0.222750	0.000000	0.219148	0.000000	0.000000
1986	0.727155	0.388883	0.000000	0.000000	0.000000	0.203236	0.000000	0.011865	0.000000	0.000000
1987	0.587302	0.329408	0.000000	0.000000	0.000000	0.298468	0.000000	0.279668	0.000000	0.000000
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.624901	0.304941	0.000000	0.000000	0.745499	0.254157	0.000000	0.397715	0.726966	0.000000
1990	0.000000	0.163009	0.000000	0.000000	0.342423	0.109796	0.000000	0.175475	0.325818	0.000000
1991	0.326801	0.136038	0.000000	0.000000	0.000000	0.346063	0.000000	0.179880	0.402043	0.726246
1992	0.000000	0.169180	0.000000	0.000000	0.000000	0.338024	0.000000	0.309163	0.312631	0.382394
1993	0.000000	0.212478	0.000000	0.000000	0.000000	0.107120	0.000000	0.028903	0.000000	0.136899
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.000000	0.162626	0.000000	0.000000	0.000000	0.105140	0.000000	0.224532	0.000000	0.000000
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
