medico	2323.000000	0.00010864571040731432	0.00010739602802906938
direttore	2205.000000	0.00010312690118300821	0.00010194304553878101
segretario	2189.000000	0.00010237858806784805	0.00010120365808247072
avvocato	1672.000000	0.00007819872053423570	0.00007731220090044454
ambasciatore	1222.000000	0.00005715241417035648	0.00005651692869171767
inviato	1108.000000	0.00005182068322484041	0.00005124879306550686
oratore	1006.000000	0.00004705018711569444	0.00004653519803152878
procuratore	994.000000	0.00004648895227932433	0.00004598065743929606
deputato	904.000000	0.00004227969100654849	0.00004182160299755069
maestro	791.000000	0.00003699472963072992	0.00003659967908735928
attore	761.000000	0.00003559164253980465	0.00003521332760677748
poeta	750.000000	0.00003507717727313204	0.00003470499873056416
allenatore	713.000000	0.00003334670319432420	0.00003299516523784662
scrittore	685.000000	0.00003203715524279393	0.00003170123718930361
pittore	604.000000	0.00002824882009729567	0.00002795808819173278
modello	569.000000	0.00002661188515788284	0.00002634067813105403
magistrato	565.000000	0.00002642480687909280	0.00002615583126697645
ingegnere	545.000000	0.00002548941548514262	0.00002523159694658859
soldato	516.000000	0.00002413309796391484	0.00002389145718202619
funzionario	467.000000	0.00002184138904873688	0.00002162708309707593
pastore	436.000000	0.00002039153238811410	0.00002019451990047475
governatore	432.000000	0.00002020445410932406	0.00002000967303639718
imperatore	423.000000	0.00001978352798204647	0.00001959376759222264
assessore	317.000000	0.00001482595359411048	0.00001469532569416698
ispettore	310.000000	0.00001449856660622791	0.00001437184368203123
lettore	300.000000	0.00001403087090925282	0.00001390972652183730
impiegato	289.000000	0.00001351640564258021	0.00001340139764562398
sarto	254.000000	0.00001187947070316738	0.00001178398758494522
carabiniere	241.000000	0.00001127146629709976	0.00001118323527669311
calciatore	226.000000	0.00001056992275163712	0.00001049005953640222
fotografo	222.000000	0.00001038284447284708	0.00001030521267232465
vescovo	221.000000	0.00001033607490314957	0.00001025900095630525
filosofo	216.000000	0.00001010222705466203	0.00001002794237620829
critico	213.000000	0.00000996191834556950	0.00000988930722815011
pescatore	202.000000	0.00000944745307889690	0.00000938097835193678
editore	192.000000	0.00000897975738192180	0.00000891886119174285
scienziato	183.000000	0.00000855883125464422	0.00000850295574756832
istruttore	183.000000	0.00000855883125464422	0.00000850295574756832
notaio	180.000000	0.00000841852254555169	0.00000836432059951014
architetto	178.000000	0.00000832498340615667	0.00000827189716747135
chirurgo	167.000000	0.00000781051813948407	0.00000776356829125803
cancelliere	163.000000	0.00000762343986069403	0.00000757872142718046
rettore	162.000000	0.00000757667029099652	0.00000753250971116106
scultore	160.000000	0.00000748313115160150	0.00000744008627912228
cacciatore	159.000000	0.00000743636158190399	0.00000739387456310288
tecnico	138.000000	0.00000645420061825630	0.00000642342852669563
banchiere	126.000000	0.00000589296578188618	0.00000586888793446291
arcivescovo	124.000000	0.00000579942664249116	0.00000577646450242413
impresario	113.000000	0.00000528496137581856	0.00000526813562621080
diplomatico	111.000000	0.00000519142223642354	0.00000517571219417202
cameriere	111.000000	0.00000519142223642354	0.00000517571219417202
curatore	93.000000	0.00000434956998186837	0.00000434390130582294
inventore	92.000000	0.00000430280041217086	0.00000429768958980355
armatore	90.000000	0.00000420926127277584	0.00000420526615776477
disegnatore	85.000000	0.00000397541342428830	0.00000397420757766780
calzolaio	82.000000	0.00000383510471519577	0.00000383557242960962
aviatore	80.000000	0.00000374156557580075	0.00000374314899757083
compositore	73.000000	0.00000341417858791819	0.00000341966698543508
portinaio	70.000000	0.00000327386987882566	0.00000328103183737690
cuoco	70.000000	0.00000327386987882566	0.00000328103183737690
commediografo	69.000000	0.00000322710030912815	0.00000323482012135751
sciatore	66.000000	0.00000308679160003562	0.00000309618497329933
fabbro	62.000000	0.00000289971332124558	0.00000291133810922176
romanziere	56.000000	0.00000261909590306053	0.00000263406781310540
mugnaio	51.000000	0.00000238524805457298	0.00000240300923300844
missionario	51.000000	0.00000238524805457298	0.00000240300923300844
redattore	50.000000	0.00000233847848487547	0.00000235679751698904
narratore	50.000000	0.00000233847848487547	0.00000235679751698904
antiquario	48.000000	0.00000224493934548045	0.00000226437408495026
artigiano	47.000000	0.00000219816977578294	0.00000221816236893087
tutore	45.000000	0.00000210463063638792	0.00000212573893689208
guerriero	44.000000	0.00000205786106669041	0.00000207952722087269
tiratore	42.000000	0.00000196432192729539	0.00000198710378883390
profeta	39.000000	0.00000182401321820287	0.00000184846864077572
religioso	38.000000	0.00000177724364850536	0.00000180225692475633
animatore	38.000000	0.00000177724364850536	0.00000180225692475633
lottatore	36.000000	0.00000168370450911034	0.00000170983349271754
drammaturgo	36.000000	0.00000168370450911034	0.00000170983349271754
condottiero	36.000000	0.00000168370450911034	0.00000170983349271754
imprenditore	35.000000	0.00000163693493941283	0.00000166362177669815
infermiere	34.000000	0.00000159016536971532	0.00000161741006067876
tipografo	31.000000	0.00000144985666062279	0.00000147877491262058
marciatore	31.000000	0.00000144985666062279	0.00000147877491262058
speleologo	30.000000	0.00000140308709092528	0.00000143256319660118
prelato	29.000000	0.00000135631752122777	0.00000138635148058179
comico	29.000000	0.00000135631752122777	0.00000138635148058179
biografo	29.000000	0.00000135631752122777	0.00000138635148058179
astrologo	28.000000	0.00000130954795153026	0.00000134013976456240
precettore	27.000000	0.00000126277838183275	0.00000129392804854300
traduttore	26.000000	0.00000121600881213524	0.00000124771633252361
predicatore	25.000000	0.00000116923924243773	0.00000120150461650422
decoratore	25.000000	0.00000116923924243773	0.00000120150461650422
storico	24.000000	0.00000112246967274023	0.00000115529290048483
presentatore	24.000000	0.00000112246967274023	0.00000115529290048483
