Year	hunter s. thompson	86,36	254,50	desailly	776.700	neri pozza	gribaudo	treves	referenziatlssiml	3121
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.215481	0.119279	0.000000	0.322025
1962	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.445487	0.264073	0.000000	0.225689
1963	0.000000	0.000000	0.000000	0.327932	0.000000	0.733056	0.264120	0.266248	0.428989	0.432423
1964	0.000000	0.745653	0.736687	0.000000	0.736178	0.000000	0.281265	0.268782	0.722748	0.721693
1965	0.000000	0.000000	0.000000	0.368928	0.433489	0.000000	0.383290	0.354752	0.400152	0.265886
1966	0.000000	0.000000	0.000000	0.320111	0.000000	0.000000	0.235609	0.249546	0.161462	0.140404
1967	0.000000	0.000000	0.477278	0.363836	0.443375	0.545184	0.148119	0.241962	0.445851	0.461274
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.000000	0.000000	0.451676	0.000000	0.000000	0.000000	0.281091	0.344629	0.370691	0.328814
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.371423	0.350785	0.315286	0.000000
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.410058	0.234079	0.000000	0.000000
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.000000	0.000000	0.000000	0.736483	0.000000	0.000000	0.396463	0.383719	0.000000	0.477163
1978	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.176193	0.303666	0.000000	0.283700
1979	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.334974	0.207311	0.000000	0.000000
1980	0.000000	0.000000	0.000000	0.146849	0.000000	0.000000	0.187443	0.258539	0.000000	0.000000
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.196243	0.194560	0.000000	0.109698
1983	0.000000	0.000000	0.000000	0.224701	0.000000	0.000000	0.162303	0.168498	0.000000	0.245916
1984	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.138336	0.278343	0.000000	0.409118
1985	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.217959	0.134199	0.000000	0.193092
1986	0.000000	0.000000	0.000000	0.177115	0.000000	0.000000	0.253989	0.456297	0.000000	0.000000
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.313128	0.345940	0.000000	0.112411
1989	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.271635	0.419860	0.000000	0.226177
1990	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.480352	0.364974	0.000000	0.348807
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.000000	0.000000	0.000000	0.047421	0.000000	0.000000	0.276488	0.181631	0.000000	0.000000
1995	0.000000	0.000000	0.000000	0.170151	0.000000	0.000000	0.360567	0.115895	0.000000	0.407527
1996	0.000000	0.000000	0.000000	0.068184	0.000000	0.000000	0.401559	0.147997	0.000000	0.272153
1997	0.000000	0.000000	0.000000	0.118322	0.000000	0.000000	0.350811	0.165296	0.000000	0.211837
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.791396	0.000000	0.000000	0.082416	0.000000	0.000000	0.184538	0.297232	0.000000	0.000000
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.000000	0.000000	0.000000	0.235836	0.000000	0.000000	0.227674	0.355799	0.000000	0.000000
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.278634	0.130177	0.000000	0.000000
