Year	giampaolo zanetta	chiappella	mollo	trovati	helenio herrera	cernetti	merlo	mignone	fassola	tonino gozzi
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.000000	0.291441	0.097628	-0.097595	0.492828	0.000000	0.215004	0.013710	0.000000	0.000000
1962	0.000000	0.000000	0.025030	-0.136848	0.411617	0.000000	0.182446	0.241497	0.000000	0.000000
1963	0.000000	0.258449	0.053196	-0.110624	0.000000	0.309632	0.143128	0.190534	0.000000	0.000000
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.000000	0.383827	0.010721	0.063895	0.575898	0.000000	0.233314	0.352381	0.000000	0.000000
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.000000	0.330921	0.079575	-0.141720	0.762742	0.000000	0.308989	0.264686	0.000000	0.000000
1968	0.000000	0.494244	0.175189	-0.024020	0.649812	0.000000	0.308715	0.092028	0.000000	0.000000
1969	0.000000	0.324237	0.081231	-0.105664	0.631962	0.000000	0.287752	0.258294	0.000000	0.000000
1970	0.000000	0.245898	0.112009	-0.097828	0.489816	0.000000	0.304931	0.000000	0.000000	0.000000
1971	0.000000	0.303689	-0.072122	-0.093172	0.488750	0.000000	0.243982	0.159380	0.000000	0.000000
1972	0.000000	0.280782	-0.009303	0.043179	0.559313	0.323947	0.219805	0.430399	0.000000	0.000000
1973	0.000000	0.194362	0.084174	0.049219	0.300113	0.000000	-0.021794	0.111639	0.000000	0.000000
1974	0.000000	0.409632	0.077884	-0.059300	0.000000	0.000000	0.257114	0.048015	0.000000	0.000000
1975	0.000000	0.353933	-0.070937	-0.105840	0.000000	0.000000	0.337693	0.191650	0.000000	0.000000
1976	0.000000	0.288386	0.034377	-0.016431	0.000000	0.243489	0.238713	0.083442	0.153355	0.000000
1977	0.000000	0.096678	-0.048302	-0.057636	0.000000	0.402204	0.162628	0.327615	0.284459	0.000000
1978	0.000000	0.376566	0.277943	-0.076925	0.000000	0.288913	0.341500	0.241821	0.000000	0.000000
1979	0.000000	0.217175	0.153163	0.040258	0.000000	0.215517	0.210850	0.120996	0.208588	0.000000
1980	0.000000	0.251249	0.218799	-0.014573	0.000000	0.063311	0.182370	0.144877	0.000000	0.000000
1981	0.000000	0.029270	0.032561	-0.024701	0.000000	-0.024927	0.222234	0.116662	0.061723	0.000000
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.000000	0.141890	-0.005344	0.044781	0.000000	-0.046078	0.119954	-0.040002	-0.006924	0.000000
1984	0.000000	0.292735	0.010035	-0.027889	0.000000	0.022712	0.295921	0.122906	0.176569	0.000000
1985	0.000000	0.087573	0.125741	0.040694	0.000000	0.116794	0.053135	0.060029	0.154689	0.000000
1986	0.000000	0.087488	0.123158	-0.005148	0.000000	0.231569	0.239951	0.276117	0.467307	0.484007
1987	0.000000	0.265601	0.232755	0.023597	0.000000	0.432850	0.213591	0.379975	0.509128	0.000000
1988	0.817627	0.132702	0.102848	0.081622	0.000000	0.591432	0.276012	0.351465	0.563220	0.749565
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.390476	0.073300	0.142513	0.143032	0.000000	0.237636	0.339427	0.153259	0.539579	0.192724
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
