Year	casoli	saitta	5376	lavoraccio	7361	zecchina	532.453	21.155	-el	giovanni agnelli
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.173559	0.239435	0.398599	0.000000	0.267197	0.000000	0.000000	0.000000	0.000000	0.000000
1964	0.376766	0.213779	0.218347	0.222905	0.204350	0.000000	0.000000	0.000000	0.000000	0.000000
1965	0.286151	0.177707	0.620311	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1966	0.303607	0.814047	0.803971	0.000000	0.801491	0.000000	0.000000	0.000000	0.000000	0.776357
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.370042	0.328193	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.400778	0.097150	0.000000	0.803670	0.000000	0.790452	0.781043	0.780526	0.780433	0.000000
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.280354	0.231927	0.000000	0.000000	0.000000	0.527658	0.000000	0.000000	0.000000	0.449322
1976	0.292417	0.166471	0.000000	0.319270	0.000000	0.000000	0.477399	0.000000	0.000000	0.305919
1977	0.162060	-0.032355	0.000000	0.000000	0.000000	0.000000	0.339168	0.000000	0.000000	0.000000
1978	0.293112	0.185690	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.272888	0.392736
1979	0.230911	0.320407	0.000000	0.312551	0.000000	0.281340	0.000000	0.000000	0.253135	0.288534
1980	0.453845	0.322305	0.000000	0.165363	0.000000	0.000000	0.205106	0.000000	0.000000	0.388061
1981	0.260255	0.290336	0.000000	0.000000	0.000000	0.000000	0.462485	0.000000	0.408196	0.161041
1982	0.235192	0.270222	0.000000	0.000000	0.000000	0.142836	0.000000	0.000000	0.216357	0.284703
1983	0.229142	0.281748	0.000000	0.313100	0.000000	0.304617	0.000000	0.000000	0.067075	0.518661
1984	0.364321	0.356029	0.000000	0.263846	0.000000	0.239479	0.000000	0.000000	0.186168	0.464304
1985	0.297314	0.364546	0.000000	0.000000	0.264856	0.394980	0.000000	0.000000	0.207534	0.424973
1986	0.104002	0.160223	0.000000	-0.031781	0.000000	-0.036645	0.000000	0.000000	0.076221	0.187469
1987	0.281443	0.387094	0.000000	0.083598	0.000000	0.000000	0.000000	0.000000	0.116824	0.472039
1988	0.341461	0.377833	0.000000	0.099739	0.000000	0.000000	0.000000	0.000000	0.144502	0.475027
1989	0.217208	0.124542	0.000000	0.007062	0.000000	0.283774	0.000000	0.000000	0.126151	0.461475
1990	0.423240	0.528745	0.000000	0.069849	0.236731	0.000000	0.000000	0.000000	0.000000	0.417857
1991	0.338763	0.170505	0.000000	0.163955	0.000000	0.310078	0.000000	0.000000	0.000000	0.225047
1992	0.355260	0.218114	0.000000	0.200634	0.000000	0.000000	0.000000	0.000000	0.000000	0.328772
1993	0.308796	0.227519	0.000000	0.052424	0.000000	0.221875	0.000000	0.000000	0.000000	0.221126
1994	0.225000	0.395583	0.000000	0.118788	0.035892	0.000000	0.000000	0.000000	0.000000	0.331293
1995	0.027565	0.263216	0.101666	0.088420	0.000000	0.000000	0.000000	0.000000	0.000000	0.192586
1996	0.096924	0.386288	0.000000	0.091757	0.000000	0.000000	0.000000	0.000000	0.000000	0.104835
1997	0.204657	0.063237	0.000000	0.466109	0.000000	0.320789	0.000000	0.000000	0.000000	0.347681
1998	-0.083051	0.034375	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.244943
1999	-0.066333	-0.055903	0.000000	0.036981	0.000000	0.000000	0.000000	0.000000	0.000000	0.150143
2000	-0.000126	-0.022561	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.069568	0.253710
2001	0.221768	-0.028505	0.000000	0.177315	0.000000	0.000000	0.000000	0.000000	0.000000	0.350013
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.000000	0.073532	0.000000	0.159206	0.000000	0.343502	0.000000	0.000000	0.000000	0.335471
