Year	acquarone	gumina	luigi carli	antonio simone	cordova	simone	piero luigi vigna	luciano scalia	luigi schiavone	scalia
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.011792	0.000000	0.000000	0.000000	0.288927	0.166332	0.000000	0.000000	0.000000	0.290226
1962	0.310363	0.000000	0.000000	0.000000	0.178681	0.216090	0.000000	0.000000	0.000000	0.204837
1963	0.253313	0.000000	0.000000	0.000000	0.128644	0.096019	0.000000	0.000000	0.000000	0.395655
1964	0.331374	0.000000	0.000000	0.000000	0.137794	0.176986	0.000000	0.000000	0.000000	0.200567
1965	0.127210	0.000000	0.000000	0.000000	0.131268	0.223056	0.000000	0.000000	0.000000	0.269995
1966	0.213378	0.268147	0.000000	0.000000	0.075330	0.125439	0.000000	0.000000	0.000000	0.215202
1967	0.247404	0.302595	0.000000	0.000000	0.068125	0.185226	0.000000	0.000000	0.000000	0.416947
1968	0.163010	0.000000	0.000000	0.000000	0.002830	0.195228	0.000000	0.000000	0.000000	0.320303
1969	0.164863	0.000000	0.000000	0.000000	-0.051496	0.016028	0.000000	0.000000	0.000000	0.370892
1970	-0.005890	0.191631	0.000000	0.000000	0.020004	0.138841	0.000000	0.000000	0.000000	0.413361
1971	0.084479	0.319105	0.000000	0.000000	-0.031227	0.070223	0.000000	0.000000	0.000000	0.425917
1972	0.029732	0.101096	0.000000	0.000000	0.057383	0.087187	0.000000	0.000000	0.000000	0.330234
1973	0.126267	0.000000	0.000000	0.000000	-0.062081	-0.046623	0.000000	0.000000	0.000000	0.131880
1974	0.070753	0.000000	0.000000	0.000000	0.043533	0.106160	0.000000	0.000000	0.000000	0.208190
1975	0.144897	0.313962	0.000000	0.000000	-0.049106	0.050683	0.000000	0.000000	0.000000	0.196395
1976	0.301221	0.277684	0.286279	0.000000	0.076396	0.072069	0.000000	0.000000	0.000000	0.312603
1977	0.386250	0.304528	0.000000	0.000000	0.064819	0.140327	0.000000	0.000000	0.000000	0.281569
1978	0.164888	0.304708	0.475080	0.000000	-0.009984	0.157205	0.000000	0.000000	0.000000	0.168060
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.204528	0.198834	0.000000	0.000000	0.074758	0.287452	0.000000	0.000000	0.000000	0.276830
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.125709	0.543958	0.000000	0.000000	0.352319	0.255107	0.214575	0.000000	0.000000	0.308058
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.149328	0.124278	0.000000	0.210291	0.211098	-0.080631	0.420105	0.320761	0.399859	0.138504
1991	0.116773	0.252627	0.000000	0.000000	0.358113	0.114474	0.000000	0.575345	0.456092	0.323594
1992	0.309415	0.371162	0.865758	0.740592	0.519468	0.036837	0.710469	0.861185	0.844964	0.510884
1993	0.526898	0.520983	0.891102	0.874148	0.481748	0.169320	0.861601	0.833434	0.866328	0.561270
1994	0.409304	0.594939	0.828002	0.703001	0.477141	-0.037516	0.761882	0.779705	0.856780	0.491019
1995	0.338284	0.193480	0.310725	0.338845	0.194728	-0.004137	0.318654	0.360450	0.182326	0.184510
1996	0.390388	0.498403	0.763597	0.504712	0.505351	0.043533	0.798670	0.000000	0.000000	0.231445
1997	0.421445	0.516691	0.725215	0.570521	0.523688	0.131895	0.592845	0.000000	0.000000	0.214540
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.129600	0.419565	0.763257	0.689606	0.211277	0.075777	0.598704	0.000000	0.000000	0.225671
2000	0.151505	0.000000	0.699425	0.000000	0.431285	0.164451	0.671541	0.000000	0.000000	0.180848
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
