Year	maccari	sindoni	borsi	azzaro	di bella	lerro	cesare negri	bergoglio	banti	garino
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.086515	0.000000	0.254146	0.000000	0.783731	0.000000	0.000000	0.397761	0.233044	0.250382
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.276517	0.000000	0.189206	0.202122	0.000000	0.137806	0.000000	0.287681	0.089977	0.176308
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.224608	0.000000	0.031990	0.028587	0.000000	0.079323	0.000000	0.074706	0.325638	0.054500
1972	0.110915	0.000000	0.116676	0.040001	0.000000	0.038087	0.000000	0.198025	0.152410	0.139209
1973	0.161185	0.000659	0.083148	0.162166	0.000000	0.138881	0.000000	0.284896	0.163259	0.296144
1974	0.177426	0.297375	0.226355	0.214551	0.000000	0.000000	0.000000	0.320724	0.062459	0.160826
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.219395	0.043986	0.033624	0.233444	0.000000	0.272224	0.000000	0.325002	0.182444	0.285890
1977	0.107941	0.127889	0.238538	0.175440	0.089793	0.207954	0.000000	0.277930	0.077303	0.281602
1978	0.164781	-0.017333	0.216297	0.202285	0.000000	0.226950	0.000000	0.248520	0.146046	0.251276
1979	0.217509	0.162175	0.196365	0.425590	0.000000	0.193942	0.000000	0.361814	0.347464	0.198456
1980	0.129498	0.096326	0.236676	0.429953	0.000000	0.177591	0.000000	0.260766	0.005092	0.309602
1981	0.357566	0.347324	0.399599	0.261475	0.000000	0.489555	0.000000	0.455557	0.318060	0.284589
1982	0.154328	0.071941	0.106525	0.199403	0.000000	0.180440	0.000000	0.274786	0.091326	0.121483
1983	0.202658	0.086084	0.049035	0.017640	0.000000	0.234513	0.000000	0.180464	0.016655	-0.067406
1984	0.258364	0.190960	0.301347	0.234591	0.000000	0.343039	0.000000	0.286480	0.315224	0.429880
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.240938	0.185756	0.245876	0.452172	0.000000	0.289069	0.000000	0.261990	0.303366	0.326901
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.317042	0.351736	0.139945	0.233764	0.000000	0.290198	0.000000	0.038580	0.089672	0.156696
1990	0.178355	0.293620	0.448058	0.228134	0.000000	0.163271	0.000000	0.265990	0.415530	0.261745
1991	0.388618	0.447861	0.328867	0.442852	0.000000	0.440268	0.534073	0.269068	0.107799	0.337285
1992	0.277059	0.229021	0.237940	0.249602	0.000000	0.520990	0.781377	0.139852	0.191174	0.260317
1993	0.231834	0.309248	0.335704	0.215472	0.000000	0.425487	0.000000	0.225570	0.139642	0.272032
1994	0.114753	0.213149	0.197498	0.286999	0.000000	0.269168	0.000000	0.183549	0.308921	0.245490
1995	0.121984	0.290831	0.056965	0.268069	0.000000	0.242323	0.000000	0.130641	0.287793	0.302225
1996	0.192480	0.193268	0.226142	0.367026	0.000000	0.000000	0.000000	0.133467	0.324432	0.329853
1997	0.266150	0.056493	0.250489	0.201954	0.431861	0.000000	0.000000	0.165380	0.159518	0.168596
1998	0.124014	0.115519	0.015770	-0.036854	0.381101	0.000000	0.000000	0.243770	0.147570	0.141740
1999	0.363078	0.252252	0.011788	0.093999	0.000000	0.025698	0.000000	0.257190	0.220316	0.196216
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.127663	0.273382	0.240721	0.140484	0.253486	0.000000	0.000000	0.140078	0.175415	0.249185
2003	0.052205	0.105801	0.177537	-0.033273	0.511912	0.000000	0.000000	0.253031	0.000000	0.016376
2004	0.128535	0.142607	0.000000	0.060168	0.000000	0.000000	0.000000	0.308988	0.116699	0.000083
2005	0.376193	0.284211	0.232414	0.188393	0.000000	0.000000	0.000000	0.328332	0.217752	0.283560
