Year	piero villa	nattero	vernetti	doriano raise	vaglio	massimo trogu	elda tessore	molineri	mauro amico	enrietti
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.000000	0.292805	0.411883	0.000000	0.086252	0.000000	0.000000	0.373686	0.000000	0.259420
1967	0.000000	0.406680	0.316249	0.000000	0.008682	0.000000	0.000000	0.260775	0.000000	0.000000
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.000000	0.000000	0.382313	0.000000	0.084298	0.000000	0.000000	0.170806	0.000000	0.387717
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.000000	0.425034	0.377385	0.000000	-0.079511	0.000000	0.000000	0.289364	0.000000	0.223267
1977	0.000000	0.264285	0.266707	0.000000	-0.013124	0.000000	0.000000	0.460022	0.000000	0.453120
1978	0.000000	0.186730	0.179732	0.000000	0.033548	0.000000	0.000000	0.503741	0.000000	0.417775
1979	0.000000	0.259110	0.252975	0.000000	0.012003	0.000000	0.000000	0.391763	0.000000	0.453818
1980	0.000000	0.298453	0.106662	0.000000	0.073997	0.000000	0.000000	0.231775	0.803900	0.437156
1981	0.000000	0.305188	0.153013	0.000000	0.176129	0.000000	0.000000	0.305166	0.000000	0.398882
1982	0.000000	0.251727	0.172560	0.000000	0.120077	0.000000	0.000000	0.111627	0.000000	0.474082
1983	0.000000	0.210653	0.225450	0.000000	0.023160	0.000000	0.000000	0.226100	0.000000	0.367239
1984	0.000000	0.201278	0.319408	0.000000	0.149632	0.000000	0.000000	0.241257	0.000000	0.289481
1985	0.000000	0.517122	0.379249	0.000000	0.029786	0.000000	0.515948	0.424433	0.000000	0.381430
1986	0.000000	0.353377	0.472408	0.000000	-0.017353	0.000000	0.422706	0.447197	0.000000	0.245566
1987	0.000000	0.189246	0.122480	0.000000	0.062441	0.000000	0.212888	0.183284	0.000000	-0.016236
1988	0.000000	0.156160	0.123343	0.000000	0.066970	0.000000	0.000000	0.117663	0.000000	0.020996
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.000000	0.241245	0.203808	0.000000	0.137685	0.000000	0.000000	0.201704	0.000000	0.351195
1991	0.000000	0.229524	0.048614	0.000000	0.206774	0.000000	0.000000	0.063304	0.000000	0.199096
1992	0.000000	0.202387	-0.040944	0.000000	-0.009234	0.000000	0.000000	0.198047	0.000000	0.243717
1993	0.133021	0.094439	0.073201	0.000000	-0.013442	0.000000	0.000000	0.143318	0.000000	0.179526
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.482595	0.237442	0.297624	0.618385	0.144062	0.633494	0.260140	0.123869	0.000000	0.181735
1996	0.670966	0.348178	0.376465	0.757087	0.203417	0.527387	0.000000	0.208883	0.000000	0.249111
1997	0.849962	0.461692	0.349993	0.826712	0.222426	0.824777	0.000000	-0.072166	0.000000	0.094975
1998	0.000000	0.244102	0.355497	0.656136	0.067721	0.657845	0.000000	0.110905	0.000000	0.049061
1999	0.000000	0.222992	0.325543	0.672529	0.012259	0.000000	0.000000	0.217659	0.000000	0.072974
2000	0.000000	0.238174	0.160997	0.677995	0.137248	0.000000	0.000000	0.000000	0.000000	0.220397
2001	0.000000	0.272650	0.384339	0.620248	0.116431	0.000000	0.544842	0.085123	0.000000	0.141950
2002	0.000000	0.320704	0.270424	0.701847	0.229431	0.000000	0.669346	0.022030	0.000000	0.147837
2003	0.000000	0.050481	0.275957	0.000000	0.058698	0.000000	0.640349	0.151818	0.000000	0.115611
2004	0.000000	0.276312	0.300255	0.000000	0.138832	0.000000	0.804932	0.292303	0.000000	0.000000
2005	0.000000	0.000000	0.264118	0.000000	0.058586	0.000000	0.698601	0.232579	0.000000	0.183568
