Year	norman lamont	kohl	john major	gerhard schroeder	nigel lawson	major	hashimoto	keizo	klima	viktor klima
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.000000	0.505240	0.000000	0.000000	0.000000	-0.006087	0.361241	0.000000	0.000000	0.000000
1983	0.000000	0.563981	0.000000	0.000000	0.000000	-0.113275	0.000000	0.000000	0.000000	0.000000
1984	0.000000	0.580936	0.000000	0.000000	0.521962	0.077314	0.000000	0.000000	0.000000	0.000000
1985	0.000000	0.574911	0.000000	0.000000	0.000000	0.102911	0.000000	0.000000	0.000000	0.000000
1986	0.000000	0.618447	0.000000	0.000000	0.432014	0.021294	0.125030	0.000000	0.000000	0.000000
1987	0.000000	0.548354	0.000000	0.000000	0.568630	0.035507	0.000000	0.000000	0.000000	0.000000
1988	0.000000	0.556579	0.000000	0.000000	0.626190	0.061097	0.000000	0.483869	0.000000	0.000000
1989	0.000000	0.600921	0.570893	0.000000	0.746160	0.165739	0.431528	0.272232	0.000000	0.000000
1990	0.000000	0.683409	0.755339	0.000000	0.000000	0.455682	0.568352	-0.078962	0.000000	0.000000
1991	0.000000	0.621599	0.000000	0.000000	0.000000	0.461908	0.444441	0.000000	-0.024815	0.000000
1992	0.777930	0.626011	0.375136	0.000000	0.000000	0.526072	0.000000	0.093784	0.272039	0.000000
1993	0.000000	0.639694	0.000000	0.000000	0.000000	0.364592	0.000000	0.000000	0.000000	0.000000
1994	0.000000	0.564310	0.000000	0.000000	0.000000	0.424417	0.203368	0.000000	0.000000	0.000000
1995	0.000000	0.640723	0.000000	0.000000	0.000000	0.472978	0.381665	0.000000	0.074403	0.000000
1996	0.000000	0.552018	0.000000	0.000000	0.000000	0.388710	0.558583	0.000000	0.052573	0.000000
1997	0.000000	0.663519	0.000000	0.000000	0.000000	0.426747	0.730181	0.000000	0.558003	0.000000
1998	0.000000	0.662606	0.000000	0.830118	0.000000	0.256661	0.702709	0.729296	0.728489	0.721062
1999	0.000000	0.510981	0.000000	0.775225	0.000000	0.057500	0.000000	0.380594	0.584173	0.601636
2000	0.000000	0.408879	0.000000	0.653902	0.000000	0.318549	0.000000	0.513893	0.520303	0.000000
2001	0.000000	0.419935	0.000000	0.532089	0.000000	0.042930	0.601518	0.000000	0.000000	0.000000
2002	0.000000	0.459654	0.000000	0.549088	0.000000	0.188865	0.000000	0.000000	0.000000	0.000000
2003	0.000000	0.409544	0.000000	0.532980	0.000000	0.083672	0.258377	0.000000	0.000000	0.000000
2004	0.000000	0.335249	0.000000	0.544616	0.000000	0.073253	0.000000	0.000000	0.000000	0.000000
2005	0.000000	0.479068	0.000000	0.453130	0.000000	0.129027	0.000000	0.000000	0.000000	0.000000
