Year	gentile	fabrizio del noce	sodano	brando giordani	raitre angelo guglielmi	giovanni minoli	angelo guglielmi	nuccio fava	gabriele polo	paolo ruffini
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.130548	0.000000	0.163167	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1986	0.059943	0.000000	0.234235	0.309092	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1987	0.118455	0.000000	0.416608	0.000000	0.542116	0.000000	0.749964	0.000000	0.000000	0.000000
1988	0.155299	0.000000	0.255223	0.000000	0.642279	0.000000	0.734276	0.644089	0.000000	0.000000
1989	0.309949	0.000000	0.452145	0.000000	0.693671	0.000000	0.833076	0.486032	0.000000	0.000000
1990	0.219663	0.000000	0.307012	0.000000	0.784911	0.000000	0.769595	0.809125	0.000000	0.000000
1991	0.334290	0.188532	0.375987	0.000000	0.717463	0.000000	0.865520	0.670063	0.000000	0.000000
1992	0.255705	0.000000	0.444322	0.000000	0.840967	0.000000	0.840212	0.627542	0.000000	0.000000
1993	0.331256	0.000000	0.372166	0.000000	0.775203	0.479039	0.853815	0.000000	0.000000	0.000000
1994	0.225643	0.260560	0.373809	0.674834	0.755412	0.717048	0.800145	0.000000	0.000000	0.000000
1995	0.258807	0.000000	0.356060	0.623896	0.000000	0.000000	0.703726	0.000000	0.000000	0.000000
1996	0.229271	0.000000	0.474509	0.813638	0.000000	0.865537	0.000000	0.594325	0.000000	0.000000
1997	0.184807	0.000000	0.395121	0.000000	0.000000	0.820200	0.464060	0.000000	0.000000	0.000000
1998	0.091248	0.000000	0.210852	0.000000	0.000000	0.749633	0.000000	0.725462	0.000000	0.000000
1999	0.190259	0.000000	0.167678	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.605494
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.044326	0.820043	0.337892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.803173
2003	0.195957	0.689084	0.181226	0.000000	0.000000	0.670475	0.649172	0.000000	0.000000	0.731946
2004	0.190425	0.673397	0.273573	0.000000	0.000000	0.641126	0.000000	0.000000	0.000000	0.662282
2005	0.157607	0.716435	0.111379	0.000000	0.000000	0.000000	0.000000	0.000000	0.807905	0.807742
