Year	boskov	materazzi	antonio livramento	della bianchina	zoratti	zoff	orcino	gianfranco stoppino	radice	pelagalli
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.187905	0.000000	0.000000	0.000000	0.000000	0.151780	0.139512	0.000000	0.103212	0.000000
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.406667	0.316697	0.000000	0.000000	0.000000	0.211301	0.397806	0.000000	0.232131	0.296136
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.277174	-0.012675	0.000000	0.000000	0.160800	0.200772	0.168576	0.000000	0.268607	0.000000
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.554681	0.461701	0.000000	0.000000	0.459993	0.494977	0.435824	0.391749	0.486823	0.428852
1988	0.389764	0.409321	0.000000	0.000000	0.317574	0.419007	0.410220	0.549109	0.328782	0.408957
1989	0.451997	0.515951	0.786796	0.786336	0.369904	0.424938	0.358613	0.705564	0.240697	0.441653
1990	0.477921	0.545668	0.454578	0.000000	0.506823	0.465781	0.467555	0.770734	0.263288	0.384227
1991	0.357881	0.371196	0.000000	0.000000	0.344846	0.347416	0.347944	0.000000	0.259938	0.000000
1992	0.195157	0.270563	0.000000	0.000000	0.277587	0.244726	0.120746	0.000000	0.080581	0.270100
1993	0.395921	0.408828	0.000000	0.000000	0.438848	0.349983	0.208385	0.000000	0.151085	0.205736
1994	0.422421	0.266982	0.000000	0.000000	0.160993	0.311531	0.219902	0.000000	0.008114	0.262736
1995	0.167356	0.239654	0.000000	0.000000	0.097208	0.251044	0.093510	0.000000	0.035973	0.237046
1996	0.383689	0.378345	0.000000	0.000000	0.343038	0.461814	0.386789	0.000000	0.270971	0.223172
1997	0.202871	0.112624	0.000000	0.000000	0.185273	0.239055	0.120577	0.000000	0.061931	-0.021214
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.291635	0.243184	0.000000	0.000000	0.235091	0.201415	0.000000	0.000000	0.052180	0.000000
2000	0.376480	0.225266	0.000000	0.000000	0.333955	0.302223	0.231228	0.000000	0.105143	0.000000
2001	0.195871	0.167394	0.000000	0.000000	0.275306	0.201024	0.186463	0.000000	-0.080302	0.000000
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.000000	0.058835	0.000000	0.000000	0.000000	0.214247	0.000000	0.000000	-0.033648	0.000000
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
